time,New York,pts.away,score,pts.home,Charlotte
2:26.0,,,52-67,1,M. Williams makes free throw 1 of 2
2:26.0,,,52-68,1,M. Williams makes free throw 2 of 2
2:08.0,A. Afflalo makes 3-pt shot from 23 ft (assist by J. Grant),3,55-68,,
1:48.0,,,55-68,,K. Walker misses 2-pt shot from 18 ft
1:46.0,Defensive rebound by J. Grant,,55-68,,
1:42.0,D. Williams misses 2-pt shot from 3 ft (block by K. Walker),,55-68,,
1:42.0,Offensive rebound by Team,,55-68,,
1:42.0,,,55-68,,T. Daniels enters the game for M. Williams
1:42.0,,,55-68,,T. Hansbrough enters the game for S. Hawes
1:27.0,J. Grant misses 2-pt shot from 6 ft,,55-68,,
1:26.0,,,55-68,,Defensive rebound by T. Hansbrough
1:13.0,,,55-71,3,T. Daniels makes 3-pt shot from 23 ft (assist by T. Hansbrough)
0:59.0,Shooting foul by F. Kaminsky (drawn by D. Williams),,55-71,,
0:59.0,D. Williams makes free throw 1 of 2,1,56-71,,
0:59.0,D. Williams misses free throw 2 of 2,,56-71,,
0:57.0,,,56-71,,Defensive rebound by F. Kaminsky
0:50.0,Personal foul by J. Grant (drawn by J. Lin),,56-71,,
0:50.0,,,56-72,1,J. Lin makes free throw 1 of 2
0:50.0,,,56-73,1,J. Lin makes free throw 2 of 2
0:34.0,J. Grant misses 3-pt shot from 22 ft,,56-73,,
0:32.0,,,56-73,,Defensive rebound by K. Walker
0:13.0,,,56-76,3,K. Walker makes 3-pt shot from 24 ft
0:00.0,D. Williams misses 3-pt shot from 24 ft,,56-76,,
0:00.0,,,56-76,,Defensive rebound by Team
0:00.0,Loose ball foul by L. Amundson,,56-76,,
0:00.0,,,56-76,,F. Kaminsky misses free throw 1 of 2
0:00.0,,,56-76,,Offensive rebound by Team
0:00.0,,,56-77,1,F. Kaminsky makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Shooting foul by T. Hansbrough (drawn by D. Williams),,56-77,,
11:44.0,D. Williams makes free throw 1 of 2,1,57-77,,
11:44.0,D. Williams misses free throw 2 of 2,,57-77,,
11:43.0,,,57-77,,Defensive rebound by M. Williams
11:29.0,,,57-77,,T. Daniels misses 2-pt shot from 21 ft
11:28.0,Defensive rebound by K. Porzingis,,57-77,,
11:09.0,D. Williams makes 2-pt shot at rim (assist by S. Vujacic),2,59-77,,
10:46.0,Personal foul by L. Amundson,,59-77,,
10:42.0,,,59-77,,T. Daniels misses 3-pt shot from 24 ft
10:40.0,,,59-77,,Offensive rebound by M. Williams
10:33.0,,,59-77,,K. Walker misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by L. Amundson,,59-77,,
10:17.0,Shooting foul by T. Daniels (drawn by D. Williams),,59-77,,
10:17.0,D. Williams makes free throw 1 of 2,1,60-77,,
10:17.0,,,60-77,,P. Hairston enters the game for T. Daniels
10:17.0,D. Williams makes free throw 2 of 2,1,61-77,,
9:51.0,,,61-77,,Turnover by B. Roberts (bad pass; steal by S. Vujacic)
9:48.0,D. Williams makes 2-pt shot at rim (assist by S. Vujacic),2,63-77,,
9:48.0,,,63-77,,Charlotte full timeout
9:48.0,,,63-77,,F. Kaminsky enters the game for M. Williams
9:27.0,,,63-77,,K. Walker misses 2-pt shot from 13 ft
9:25.0,Defensive rebound by D. Williams,,63-77,,
9:19.0,D. Williams misses 2-pt shot from 17 ft,,63-77,,
9:16.0,Offensive rebound by L. Amundson,,63-77,,
9:16.0,L. Amundson makes 2-pt shot at rim,2,65-77,,
8:52.0,,,65-77,,Shooting foul by K. Porzingis (drawn by K. Walker)
8:52.0,,,65-78,1,K. Walker makes free throw 1 of 2
8:52.0,J. Calderon enters the game for L. Galloway,,65-78,,
8:52.0,,,65-79,1,K. Walker makes free throw 2 of 2
8:41.0,S. Vujacic misses 2-pt shot from 18 ft,,65-79,,
8:40.0,,,65-79,,Defensive rebound by F. Kaminsky
8:22.0,,,65-79,,P. Hairston misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by S. Vujacic,,65-79,,
8:11.0,K. Porzingis makes 3-pt shot from 25 ft (assist by S. Vujacic),3,68-79,,
7:46.0,,,68-79,,B. Roberts misses 2-pt shot from 1 ft
7:45.0,Defensive rebound by D. Williams,,68-79,,
7:37.0,K. Porzingis misses 3-pt shot from 24 ft,,68-79,,
7:36.0,,,68-79,,Defensive rebound by P. Hairston
