time,Dallas,pts.away,score,pts.home,New Orleans
9:25.0,Defensive rebound by D. Harris,,75-70,,
9:07.0,D. Powell makes 2-pt shot from 16 ft (assist by D. Harris),2,77-70,,
8:56.0,,,77-70,,N. Cole misses 2-pt shot from 19 ft
8:56.0,Defensive rebound by D. Powell,,77-70,,
8:36.0,J. Barea makes 3-pt shot from 24 ft (assist by D. Powell),3,80-70,,
8:35.0,,,80-70,,New Orleans full timeout
8:35.0,,,80-70,,A. Gee enters the game for E. Gordon
8:35.0,,,80-70,,J. Holiday enters the game for N. Cole
8:35.0,,,80-70,,T. Evans enters the game for R. Anderson
8:35.0,,,80-70,,O. Asik enters the game for D. Cunningham
8:18.0,,,80-72,2,A. Davis makes 2-pt shot from 17 ft (assist by A. Gee)
7:52.0,J. Barea makes 3-pt shot from 27 ft (assist by J. Anderson),3,83-72,,
7:36.0,,,83-72,,A. Davis misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by J. Barea,,83-72,,
7:18.0,J. Barea misses 3-pt shot from 24 ft,,83-72,,
7:16.0,Offensive rebound by D. Powell,,83-72,,
7:01.0,D. Powell misses 2-pt shot from 19 ft,,83-72,,
7:01.0,,,83-72,,Defensive rebound by A. Davis
6:48.0,Personal foul by J. Barea,,83-72,,
6:48.0,R. Felton enters the game for D. Harris,,83-72,,
6:48.0,C. Parsons enters the game for J. Anderson,,83-72,,
6:32.0,,,83-72,,T. Evans misses 2-pt shot from 2 ft
6:31.0,Defensive rebound by D. Powell,,83-72,,
6:10.0,J. Evans misses 3-pt shot from 23 ft,,83-72,,
6:09.0,,,83-72,,Defensive rebound by A. Davis
6:03.0,,,83-72,,J. Holiday misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by J. Evans,,83-72,,
5:39.0,R. Felton makes 3-pt shot from 24 ft (assist by C. Parsons),3,86-72,,
5:22.0,,,86-72,,A. Gee misses 3-pt shot from 23 ft
5:21.0,,,86-72,,Offensive rebound by O. Asik
5:08.0,,,86-75,3,T. Evans makes 3-pt shot from 26 ft (assist by J. Holiday)
5:06.0,Dallas full timeout,,86-75,,
5:06.0,,,86-75,,R. Anderson enters the game for O. Asik
5:06.0,,,86-75,,N. Cole enters the game for A. Gee
4:40.0,J. Barea misses 3-pt shot from 24 ft,,86-75,,
4:39.0,,,86-75,,Defensive rebound by A. Davis
