time,Oklahoma City,pts.away,score,pts.home,Detroit
8:09.0,,,63-73,2,T. Harris makes 2-pt shot from 7 ft (assist by S. Johnson)
7:48.0,S. Adams makes 2-pt shot from 5 ft (assist by E. Kanter),2,65-73,,
7:29.0,,,65-73,,T. Harris misses 2-pt shot from 2 ft (block by S. Adams)
7:26.0,Defensive rebound by E. Kanter,,65-73,,
7:25.0,R. Foye makes 2-pt shot at rim (assist by C. Payne),2,67-73,,
7:25.0,,,67-73,,Detroit full timeout
7:25.0,R. Westbrook enters the game for C. Payne,,67-73,,
7:25.0,,,67-73,,R. Jackson enters the game for S. Johnson
7:25.0,,,67-73,,K. Caldwell-Pope enters the game for S. Blake
7:25.0,,,67-73,,M. Morris enters the game for A. Tolliver
7:06.0,,,67-73,,K. Caldwell-Pope misses 2-pt shot from 6 ft (block by R. Foye)
7:05.0,,,67-73,,Offensive rebound by K. Caldwell-Pope
7:01.0,,,67-73,,R. Jackson misses 2-pt shot from 16 ft
7:01.0,Defensive rebound by Team,,67-73,,
7:01.0,,,67-73,,Loose ball foul by A. Baynes
6:52.0,,,67-73,,Violation by A. Baynes (kicked ball)
6:46.0,R. Westbrook misses 2-pt shot from 13 ft,,67-73,,
6:45.0,Offensive rebound by E. Kanter,,67-73,,
6:42.0,E. Kanter makes 2-pt shot at rim,2,69-73,,
6:21.0,,,69-75,2,K. Caldwell-Pope makes 2-pt shot from 6 ft
6:05.0,R. Foye makes 2-pt shot from 21 ft (assist by R. Westbrook),2,71-75,,
5:50.0,Personal foul by E. Kanter,,71-75,,
5:50.0,Official timeout,,71-75,,
5:50.0,,,71-75,,A. Drummond enters the game for T. Harris
5:34.0,,,71-75,,K. Caldwell-Pope misses 2-pt shot from 18 ft
5:34.0,,,71-75,,Offensive rebound by K. Caldwell-Pope
5:28.0,,,71-75,,R. Jackson misses 3-pt shot from 25 ft
5:28.0,,,71-75,,Offensive rebound by K. Caldwell-Pope
5:17.0,,,71-75,,Turnover by A. Drummond (bad pass)
