time,Chicago,pts.away,score,pts.home,Washington
6:56.0,,,82-99,,M. Gortat enters the game for N. Hilario
6:56.0,,,82-99,,J. Wall misses free throw 2 of 2
6:55.0,Defensive rebound by J. Butler,,82-99,,
6:41.0,D. Rose makes 2-pt shot from 18 ft (assist by J. Butler),2,84-99,,
6:26.0,,,84-99,,M. Gortat misses 2-pt shot at rim
6:25.0,,,84-99,,Offensive rebound by B. Beal
6:22.0,,,84-101,2,B. Beal makes 2-pt shot at rim
6:08.0,D. McDermott makes 3-pt shot from 26 ft (assist by J. Butler),3,87-101,,
5:42.0,,,87-101,,G. Temple misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by C. Felicio,,87-101,,
5:23.0,D. McDermott makes 2-pt shot from 13 ft (assist by C. Felicio),2,89-101,,
5:23.0,,,89-101,,Washington full timeout
5:23.0,,,89-101,,O. Porter enters the game for B. Beal
5:04.0,,,89-101,,Turnover by J. Wall (lost ball; steal by D. Rose)
5:00.0,D. Rose misses 2-pt shot from 1 ft (block by O. Porter),,89-101,,
5:00.0,,,89-101,,Defensive rebound by Team
4:49.0,,,89-103,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:30.0,J. Butler misses 3-pt shot from 25 ft,,89-103,,
