time,Washington,pts.away,score,pts.home,Brooklyn
5:53.0,J. Wall misses 2-pt shot from 2 ft,,93-84,,
5:52.0,,,93-84,,Defensive rebound by B. Lopez
5:39.0,,,93-84,,S. Larkin misses 2-pt shot from 18 ft
5:38.0,Defensive rebound by R. Sessions,,93-84,,
5:33.0,M. Gortat makes 2-pt shot from 1 ft (assist by R. Sessions),2,95-84,,
5:19.0,,,95-84,,Turnover by S. Larkin (bad pass; steal by M. Gortat)
5:18.0,R. Sessions makes 2-pt shot from 2 ft,2,97-84,,
5:18.0,Shooting foul by S. Larkin (drawn by R. Sessions),,97-84,,
5:18.0,Official timeout,,97-84,,
5:18.0,,,97-84,,J. Johnson enters the game for S. Larkin
5:18.0,R. Sessions misses free throw 1 of 1,,97-84,,
5:17.0,Offensive rebound by J. Dudley,,97-84,,
5:01.0,J. Eddie makes 3-pt shot from 24 ft (assist by J. Wall),3,100-84,,
