time,Atlanta,pts.away,score,pts.home,Boston
9:23.0,Shooting block foul by D. Schroder (drawn by I. Thomas),,77-78,,
9:23.0,,,77-79,1,I. Thomas makes free throw 1 of 1
8:59.0,T. Splitter misses 2-pt shot from 10 ft,,77-79,,
8:58.0,,,77-79,,Defensive rebound by J. Jerebko
8:48.0,,,77-82,3,R. Hunter makes 3-pt shot from 22 ft (assist by K. Olynyk)
8:47.0,Atlanta full timeout,,77-82,,
8:47.0,K. Korver enters the game for T. Sefolosha,,77-82,,
8:47.0,P. Millsap enters the game for T. Splitter,,77-82,,
8:31.0,P. Millsap makes 2-pt shot from 2 ft,2,79-82,,
8:11.0,,,79-82,,Shooting foul by K. Korver (drawn by K. Olynyk)
8:11.0,,,79-83,1,K. Olynyk makes free throw 1 of 2
8:11.0,,,79-83,,A. Bradley enters the game for I. Thomas
8:11.0,,,79-83,,K. Olynyk misses free throw 2 of 2
8:11.0,Defensive rebound by A. Horford,,79-83,,
7:53.0,D. Schroder misses 2-pt shot from 14 ft,,79-83,,
7:52.0,Offensive rebound by A. Horford,,79-83,,
7:52.0,A. Horford makes 2-pt shot from 1 ft,2,81-83,,
7:26.0,,,81-86,3,R. Hunter makes 3-pt shot from 25 ft (assist by E. Turner)
7:09.0,K. Bazemore misses 2-pt shot from 4 ft,,81-86,,
7:09.0,,,81-86,,Defensive rebound by Team
7:09.0,Loose ball foul by K. Bazemore (drawn by K. Olynyk),,81-86,,
7:09.0,Technical foul by K. Bazemore (drawn by K. Olynyk),,81-86,,
7:09.0,,,81-86,,A. Bradley misses technical free throw
7:09.0,,,81-86,,Offensive rebound by Team
6:58.0,,,81-86,,Turnover by K. Olynyk (traveling)
6:52.0,Offensive charge foul by P. Millsap,,81-86,,
6:52.0,Turnover by P. Millsap (offensive foul),,81-86,,
6:41.0,,,81-86,,Offensive foul by K. Olynyk
6:41.0,,,81-86,,Turnover by K. Olynyk (offensive foul)
6:24.0,K. Bazemore misses 3-pt shot from 27 ft,,81-86,,
6:22.0,Offensive rebound by Team,,81-86,,
