time,New York,pts.away,score,pts.home,Cleveland
11:35.0,,,72-72,,K. Irving misses 2-pt shot from 11 ft
11:35.0,,,72-72,,Offensive rebound by T. Thompson
11:35.0,Personal foul by L. Thomas (drawn by T. Thompson),,72-72,,
11:32.0,,,72-72,,K. Irving misses 2-pt shot from 5 ft
11:31.0,,,72-72,,Offensive rebound by T. Thompson
11:31.0,,,72-72,,T. Thompson misses 2-pt shot at rim
11:29.0,,,72-72,,Offensive rebound by T. Thompson
11:25.0,,,72-72,,K. Irving misses 3-pt shot from 23 ft
11:23.0,Defensive rebound by L. Amundson,,72-72,,
11:15.0,J. Grant misses 3-pt shot from 25 ft,,72-72,,
11:13.0,Offensive rebound by L. Amundson,,72-72,,
11:13.0,L. Amundson makes 2-pt shot at rim,2,74-72,,
10:58.0,,,74-72,,M. Williams misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by Team,,74-72,,
10:58.0,C. Early enters the game for L. Thomas,,74-72,,
10:38.0,L. Galloway misses 3-pt shot from 24 ft,,74-72,,
10:37.0,,,74-72,,Defensive rebound by I. Shumpert
10:17.0,,,74-72,,T. Thompson misses 2-pt shot from 5 ft (block by D. Williams)
10:16.0,Defensive rebound by D. Williams,,74-72,,
10:14.0,,,74-72,,Personal foul by I. Shumpert (drawn by D. Williams)
10:14.0,,,74-72,,L. James enters the game for J. Jones
10:01.0,D. Williams misses 3-pt shot from 24 ft,,74-72,,
10:01.0,,,74-72,,Defensive rebound by M. Williams
9:45.0,Def 3 sec tech foul by C. Early,,74-72,,
9:45.0,,,74-73,1,K. Irving makes technical free throw
9:32.0,,,74-73,,Shooting foul by J. Grant (drawn by T. Thompson)
9:32.0,,,74-74,1,T. Thompson makes free throw 1 of 2
9:32.0,,,74-75,1,T. Thompson makes free throw 2 of 2
9:18.0,J. Grant misses 2-pt shot from 11 ft (block by M. Williams),,74-75,,
9:18.0,Offensive rebound by Team,,74-75,,
9:05.0,J. Grant misses 2-pt shot from 12 ft,,74-75,,
9:02.0,Offensive rebound by L. Amundson,,74-75,,
9:02.0,L. Amundson misses 2-pt shot at rim,,74-75,,
9:00.0,,,74-75,,Defensive rebound by M. Williams
8:51.0,,,74-75,,L. James misses 2-pt shot from 2 ft (block by D. Williams)
8:50.0,,,74-75,,Offensive rebound by L. James
8:40.0,,,74-75,,L. James misses 2-pt shot from 20 ft
8:38.0,Defensive rebound by L. Galloway,,74-75,,
8:29.0,Turnover by D. Williams (lost ball; steal by M. Williams),,74-75,,
8:23.0,Personal foul by D. Williams (drawn by M. Williams),,74-75,,
8:23.0,Official timeout,,74-75,,
8:23.0,A. Afflalo enters the game for C. Early,,74-75,,
8:23.0,K. Porzingis enters the game for L. Amundson,,74-75,,
8:06.0,,,74-77,2,L. James makes 2-pt shot at rim
7:58.0,,,74-77,,Personal foul by M. Williams (drawn by J. Grant)
7:58.0,L. Thomas enters the game for D. Williams,,74-77,,
7:45.0,A. Afflalo makes 2-pt shot from 13 ft,2,76-77,,
7:30.0,,,76-77,,M. Williams misses 2-pt shot from 2 ft (block by L. Galloway)
7:28.0,Defensive rebound by K. Porzingis,,76-77,,
7:21.0,A. Afflalo misses 2-pt shot from 22 ft,,76-77,,
7:21.0,Offensive rebound by J. Grant,,76-77,,
7:09.0,A. Afflalo misses 2-pt shot from 9 ft (block by I. Shumpert),,76-77,,
7:08.0,,,76-77,,Defensive rebound by L. James
7:02.0,,,76-77,,L. James misses 2-pt shot from 2 ft
7:01.0,Defensive rebound by K. Porzingis,,76-77,,
6:58.0,L. Galloway misses 2-pt shot from 2 ft,,76-77,,
6:57.0,Offensive rebound by Team,,76-77,,
6:57.0,,,76-77,,Loose ball foul by M. Williams (drawn by L. Thomas)
6:57.0,,,76-77,,M. Dellavedova enters the game for K. Irving
6:57.0,J. Calderon enters the game for J. Grant,,76-77,,
6:47.0,A. Afflalo misses 2-pt shot from 20 ft,,76-77,,
6:47.0,,,76-77,,Defensive rebound by T. Thompson
6:38.0,,,76-79,2,M. Williams makes 2-pt shot from 16 ft
6:13.0,A. Afflalo makes 2-pt shot from 12 ft,2,78-79,,
5:49.0,,,78-79,,M. Dellavedova misses 3-pt shot from 25 ft
5:48.0,Defensive rebound by K. Porzingis,,78-79,,
5:28.0,A. Afflalo makes 2-pt shot from 2 ft (assist by K. Porzingis),2,80-79,,
5:06.0,,,80-79,,L. James misses 2-pt shot at rim
5:02.0,Defensive rebound by L. Galloway,,80-79,,
4:58.0,A. Afflalo misses 3-pt shot from 25 ft,,80-79,,
4:58.0,Offensive rebound by Team,,80-79,,
4:58.0,,,80-79,,Violation by T. Thompson (kicked ball)
4:58.0,,,80-79,,Cleveland full timeout
4:58.0,,,80-79,,K. Love enters the game for M. Williams
4:53.0,L. Thomas misses 3-pt shot from 24 ft,,80-79,,
4:53.0,,,80-79,,Defensive rebound by L. James
4:31.0,,,80-79,,Shooting foul by A. Afflalo (drawn by K. Love)
4:31.0,,,80-79,,K. Love misses free throw 1 of 2
4:31.0,,,80-79,,Offensive rebound by Team
4:31.0,,,80-80,1,K. Love makes free throw 2 of 2
4:07.0,L. Galloway makes 2-pt shot from 23 ft (assist by A. Afflalo),2,82-80,,
3:40.0,,,82-82,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
3:21.0,New York full timeout,,82-82,,
3:19.0,Turnover by L. Thomas (bad pass; steal by M. Dellavedova),,82-82,,
3:13.0,,,82-84,2,L. James makes 2-pt shot from 2 ft (assist by M. Dellavedova)
2:52.0,L. Thomas misses 2-pt shot from 7 ft,,82-84,,
2:52.0,,,82-84,,Defensive rebound by K. Love
2:47.0,,,82-84,,Shooting foul by L. Thomas (drawn by L. James)
2:47.0,,,82-85,1,L. James makes free throw 1 of 2
2:47.0,,,82-86,1,L. James makes free throw 2 of 2
2:26.0,Turnover by A. Afflalo (lost ball),,82-86,,
2:09.0,,,82-86,,K. Love misses 2-pt shot from 16 ft
2:08.0,Defensive rebound by L. Galloway,,82-86,,
1:42.0,L. Thomas misses 2-pt shot from 13 ft,,82-86,,
1:42.0,,,82-86,,Defensive rebound by T. Thompson
1:27.0,,,82-86,,Turnover by L. James (lost ball; steal by L. Thomas)
1:16.0,New York full timeout,,82-86,,
1:06.0,A. Afflalo misses 3-pt shot from 26 ft,,82-86,,
1:06.0,,,82-86,,Defensive rebound by K. Love
0:52.0,,,82-88,2,L. James makes 2-pt shot at rim
