time,Portland,pts.away,score,pts.home,Phoenix
2:31.0,,,67-77,,Turnover by S. Weems (bad pass; steal by A. Crabbe)
2:25.0,M. Harkless makes 2-pt shot from 1 ft,2,69-77,,
2:25.0,,,69-77,,Phoenix full timeout
2:25.0,Portland full timeout,,69-77,,
2:11.0,,,69-79,2,M. Morris makes 2-pt shot from 19 ft
1:57.0,Offensive foul by E. Davis,,69-79,,
1:57.0,Turnover by E. Davis (offensive foul),,69-79,,
1:34.0,,,69-81,2,T. Warren makes 2-pt shot from 8 ft
1:15.0,Turnover by A. Crabbe (lost ball; steal by R. Price),,69-81,,
1:10.0,,,69-83,2,T. Warren makes 2-pt shot at rim (assist by R. Price)
0:53.0,Turnover by M. Harkless (bad pass; steal by M. Morris),,69-83,,
0:48.0,,,69-83,,M. Morris misses 2-pt shot from 1 ft (block by M. Harkless)
0:47.0,Defensive rebound by D. Lillard,,69-83,,
0:46.0,,,69-83,,Personal foul by R. Price (drawn by D. Lillard)
0:46.0,C. McCollum enters the game for D. Lillard,,69-83,,
0:34.0,C. McCollum misses 3-pt shot from 25 ft,,69-83,,
0:32.0,Offensive rebound by N. Vonleh,,69-83,,
0:29.0,N. Vonleh misses 2-pt shot from 2 ft,,69-83,,
0:28.0,,,69-83,,Defensive rebound by T. Warren
0:09.0,Violation by C. McCollum (kicked ball),,69-83,,
0:03.0,,,69-83,,M. Morris misses 3-pt shot from 25 ft
0:02.0,,,69-83,,Offensive rebound by A. Len
0:00.0,,,69-83,,R. Price misses 3-pt shot from 35 ft
0:00.0,,,69-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,69-85,2,T. Warren makes 2-pt shot from 2 ft (assist by R. Price)
11:28.0,A. Crabbe misses 2-pt shot from 16 ft,,69-85,,
11:27.0,,,69-85,,Defensive rebound by R. Price
11:09.0,,,69-87,2,A. Len makes 2-pt shot from 1 ft
10:58.0,C. McCollum makes 2-pt shot from 11 ft,2,71-87,,
10:38.0,,,71-87,,R. Price misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by A. Crabbe,,71-87,,
10:29.0,C. McCollum misses 2-pt shot from 15 ft,,71-87,,
10:28.0,,,71-87,,Defensive rebound by J. Leuer
10:24.0,,,71-87,,Shooting foul by C. McCollum (drawn by T. Warren)
10:24.0,,,71-88,1,T. Warren makes free throw 1 of 2
10:24.0,D. Lillard enters the game for A. Crabbe,,71-88,,
10:24.0,A. Aminu enters the game for N. Vonleh,,71-88,,
10:24.0,,,71-88,,T. Warren misses free throw 2 of 2
10:23.0,Defensive rebound by A. Aminu,,71-88,,
10:16.0,D. Lillard misses 2-pt shot from 7 ft,,71-88,,
10:15.0,Offensive rebound by M. Harkless,,71-88,,
10:13.0,M. Harkless makes 2-pt shot from 1 ft,2,73-88,,
9:48.0,,,73-88,,A. Len misses 2-pt shot from 19 ft
9:48.0,Defensive rebound by M. Harkless,,73-88,,
9:36.0,Shooting foul by T. Warren (drawn by E. Davis),,73-88,,
9:36.0,E. Davis misses free throw 1 of 2,,73-88,,
9:36.0,Offensive rebound by Team,,73-88,,
9:36.0,,,73-88,,E. Bledsoe enters the game for R. Price
9:36.0,,,73-88,,B. Knight enters the game for S. Weems
9:36.0,E. Davis misses free throw 2 of 2,,73-88,,
9:35.0,,,73-88,,Defensive rebound by T. Warren
9:27.0,,,73-88,,T. Warren misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by E. Davis,,73-88,,
9:18.0,Shooting foul by A. Len (drawn by D. Lillard),,73-88,,
9:18.0,D. Lillard makes free throw 1 of 2,1,74-88,,
9:18.0,D. Lillard makes free throw 2 of 2,1,75-88,,
9:09.0,Personal foul by C. McCollum (drawn by B. Knight),,75-88,,
9:03.0,,,75-91,3,B. Knight makes 3-pt shot from 26 ft
8:51.0,D. Lillard misses 2-pt shot from 12 ft (block by A. Len),,75-91,,
8:50.0,,,75-91,,Defensive rebound by A. Len
8:46.0,Official timeout,,75-91,,
8:42.0,,,75-93,2,T. Warren makes 2-pt shot at rim (assist by A. Len)
8:23.0,C. McCollum misses 2-pt shot from 17 ft,,75-93,,
8:22.0,,,75-93,,Defensive rebound by T. Warren
8:15.0,,,75-93,,J. Leuer misses 2-pt shot from 17 ft
8:14.0,Defensive rebound by C. McCollum,,75-93,,
