time,LA Clippers,pts.away,score,pts.home,Denver
1:57.0,L. Stephenson enters the game for B. Griffin,,77-70,,
1:57.0,J. Crawford makes free throw 2 of 2,1,78-70,,
1:44.0,,,78-70,,Turnover by J. Hickson (lost ball; steal by P. Pierce)
1:34.0,L. Stephenson makes 2-pt shot from 2 ft,2,80-70,,
1:20.0,Personal foul by A. Rivers (drawn by D. Gallinari),,80-70,,
1:20.0,,,80-71,1,D. Gallinari makes free throw 1 of 2
1:20.0,,,80-72,1,D. Gallinari makes free throw 2 of 2
1:01.0,P. Pierce misses 3-pt shot from 24 ft,,80-72,,
0:58.0,,,80-72,,Defensive rebound by J. Hickson
0:51.0,,,80-72,,Turnover by W. Barton (lost ball; steal by J. Crawford)
0:43.0,J. Smith misses 3-pt shot from 26 ft,,80-72,,
0:42.0,,,80-72,,Defensive rebound by M. Miller
0:31.0,,,80-72,,Turnover by J. Nelson (bad pass; steal by J. Smith)
0:22.0,P. Pierce misses 3-pt shot from 27 ft,,80-72,,
0:21.0,,,80-72,,Defensive rebound by D. Gallinari
0:03.0,,,80-72,,D. Gallinari misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by J. Crawford,,80-72,,
0:00.0,J. Crawford makes 3-pt shot from 40 ft,3,83-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,83-72,,Turnover by W. Barton (bad pass; steal by L. Stephenson)
11:29.0,Turnover by L. Stephenson (bad pass; steal by M. Miller),,83-72,,
11:25.0,,,83-75,3,M. Miller makes 3-pt shot from 25 ft
11:06.0,Shooting foul by W. Barton (drawn by J. Crawford),,83-75,,
11:06.0,J. Crawford makes free throw 1 of 2,1,84-75,,
11:06.0,J. Crawford makes free throw 2 of 2,1,85-75,,
10:42.0,,,85-75,,Shooting foul by L. Stephenson (drawn by J. Hickson)
10:42.0,,,85-75,,J. Hickson misses free throw 1 of 2
10:42.0,,,85-75,,Offensive rebound by Team
10:42.0,,,85-76,1,J. Hickson makes free throw 2 of 2
10:26.0,J. Crawford makes 3-pt shot from 27 ft,3,88-76,,
10:13.0,,,88-76,,M. Miller misses 3-pt shot from 28 ft
10:13.0,,,88-76,,Offensive rebound by Team
10:13.0,Loose ball foul by P. Pierce (drawn by J. Hickson),,88-76,,
10:03.0,,,88-76,,W. Barton misses 3-pt shot from 22 ft
10:03.0,Defensive rebound by Team,,88-76,,
10:03.0,,,88-76,,Loose ball foul by M. Miller (drawn by P. Pierce)
9:50.0,J. Crawford makes 2-pt shot from 18 ft,2,90-76,,
9:50.0,,,90-76,,Denver full timeout
9:50.0,,,90-76,,G. Harris enters the game for J. Hickson
9:50.0,,,90-76,,N. Jokic enters the game for W. Barton
9:29.0,,,90-78,2,N. Jokic makes 2-pt shot from 9 ft (assist by J. Nelson)
9:04.0,P. Pierce makes 2-pt shot from 3 ft (assist by J. Smith),2,92-78,,
8:48.0,,,92-78,,N. Jokic misses 2-pt shot from 4 ft (block by J. Smith)
