time,Indiana,pts.away,score,pts.home,Minnesota
5:16.0,P. George enters the game for C. Budinger,,84-79,,
5:02.0,,,84-79,,A. Wiggins misses 2-pt shot from 10 ft
5:01.0,,,84-79,,Offensive rebound by A. Wiggins
5:00.0,,,84-81,2,A. Wiggins makes 2-pt shot at rim
4:38.0,R. Stuckey misses 3-pt shot from 23 ft,,84-81,,
4:36.0,Offensive rebound by P. George,,84-81,,
4:30.0,P. George makes 2-pt shot from 1 ft (assist by L. Allen),2,86-81,,
4:08.0,,,86-84,3,R. Rubio makes 3-pt shot from 24 ft (assist by K. Towns)
3:44.0,P. George makes 3-pt shot from 22 ft (assist by R. Stuckey),3,89-84,,
3:23.0,,,89-84,,A. Wiggins misses 2-pt shot from 4 ft (block by L. Allen)
3:22.0,Defensive rebound by I. Mahinmi,,89-84,,
3:21.0,Turnover by P. George (lost ball),,89-84,,
3:16.0,,,89-84,,R. Rubio misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by Team,,89-84,,
2:55.0,R. Stuckey makes 3-pt shot from 25 ft (assist by I. Mahinmi),3,92-84,,
2:37.0,,,92-84,,Z. LaVine misses 2-pt shot from 17 ft
2:36.0,Defensive rebound by R. Stuckey,,92-84,,
2:17.0,M. Ellis misses 2-pt shot from 14 ft,,92-84,,
2:16.0,,,92-84,,Defensive rebound by K. Towns
2:09.0,,,92-86,2,A. Wiggins makes 2-pt shot from 1 ft
2:08.0,Indiana full timeout,,92-86,,
2:08.0,J. Hill enters the game for L. Allen,,92-86,,
1:48.0,P. George makes 3-pt shot from 25 ft,3,95-86,,
1:37.0,,,95-86,,Turnover by Z. LaVine (lost ball; steal by M. Ellis)
1:33.0,M. Ellis makes 2-pt shot from 1 ft,2,97-86,,
1:24.0,,,97-86,,R. Rubio misses 3-pt shot from 24 ft
1:23.0,Defensive rebound by J. Hill,,97-86,,
1:04.0,I. Mahinmi makes 2-pt shot from 11 ft (assist by R. Stuckey),2,99-86,,
1:00.0,,,99-86,,A. Wiggins misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by R. Stuckey,,99-86,,
0:38.0,R. Stuckey misses 3-pt shot from 24 ft,,99-86,,
0:37.0,Offensive rebound by I. Mahinmi,,99-86,,
0:17.0,M. Ellis makes 3-pt shot from 24 ft (assist by P. George),3,102-86,,
0:10.0,,,102-88,2,A. Wiggins makes 2-pt shot from 1 ft (assist by Z. LaVine)
0:00.0,End of 4th quarter,,,,End of 4th quarter
