time,Chicago,pts.away,score,pts.home,Brooklyn
0:50.0,,,86-69,,Defensive rebound by A. Bargnani
0:40.0,,,86-69,,A. Bargnani misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by Team,,86-69,,
0:39.0,T. Gibson enters the game for N. Mirotic,,86-69,,
0:30.0,A. Brooks misses 3-pt shot from 25 ft,,86-69,,
0:29.0,Offensive rebound by Team,,86-69,,
0:29.0,,,86-69,,Loose ball foul by A. Bargnani (drawn by J. Noah)
0:29.0,J. Noah misses free throw 1 of 2,,86-69,,
0:29.0,Offensive rebound by Team,,86-69,,
0:29.0,J. Noah misses free throw 2 of 2,,86-69,,
0:28.0,,,86-69,,Defensive rebound by R. Hollis-Jefferson
0:10.0,,,86-71,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,86-71,,B. Bogdanovic misses 2-pt shot from 20 ft
11:35.0,,,86-71,,Offensive rebound by T. Robinson
11:34.0,,,86-71,,Turnover by T. Robinson (lost ball; steal by E. Moore)
11:31.0,Turnover by A. Brooks (bad pass),,86-71,,
11:19.0,,,86-71,,B. Bogdanovic misses 2-pt shot from 10 ft
11:17.0,Defensive rebound by D. McDermott,,86-71,,
11:07.0,E. Moore makes 2-pt shot from 7 ft,2,88-71,,
11:00.0,Personal foul by A. Brooks (drawn by S. Larkin),,88-71,,
10:48.0,,,88-71,,T. Robinson misses 2-pt shot from 8 ft
10:46.0,Defensive rebound by J. Noah,,88-71,,
10:42.0,Offensive foul by T. Gibson,,88-71,,
10:42.0,Turnover by T. Gibson (offensive foul),,88-71,,
10:30.0,,,88-71,,A. Bargnani misses 2-pt shot from 21 ft
10:29.0,Defensive rebound by A. Brooks,,88-71,,
10:19.0,T. Gibson misses 2-pt shot from 6 ft,,88-71,,
10:18.0,,,88-71,,Defensive rebound by T. Robinson
10:07.0,,,88-73,2,A. Bargnani makes 2-pt shot from 3 ft (assist by S. Larkin)
10:07.0,,,88-73,,Shooting foul by A. Brooks (drawn by A. Bargnani)
10:07.0,,,88-74,1,A. Bargnani makes free throw 1 of 1
9:54.0,Turnover by E. Moore (lost ball; steal by T. Robinson),,88-74,,
9:43.0,,,88-76,2,S. Larkin makes 2-pt shot from 15 ft
9:36.0,Turnover by E. Moore (lost ball; steal by S. Larkin),,88-76,,
9:31.0,,,88-76,,Turnover by S. Larkin (lost ball; steal by A. Brooks)
9:21.0,E. Moore makes 3-pt shot from 27 ft,3,91-76,,
9:10.0,,,91-78,2,A. Bargnani makes 2-pt shot from 19 ft (assist by S. Larkin)
8:52.0,A. Brooks misses 3-pt shot from 24 ft,,91-78,,
8:50.0,,,91-78,,Defensive rebound by R. Hollis-Jefferson
8:38.0,,,91-78,,Shooting foul by J. Noah (drawn by T. Robinson)
8:38.0,Official timeout,,91-78,,
8:38.0,K. Hinrich enters the game for A. Brooks,,91-78,,
8:38.0,,,91-78,,T. Robinson misses free throw 1 of 2
8:38.0,,,91-78,,Offensive rebound by Team
8:38.0,,,91-78,,T. Robinson misses free throw 2 of 2
8:37.0,Defensive rebound by J. Noah,,91-78,,
8:17.0,Shooting foul by A. Bargnani (drawn by T. Gibson),,91-78,,
8:17.0,T. Gibson makes free throw 1 of 2,1,92-78,,
8:17.0,,,92-78,,B. Lopez enters the game for T. Robinson
8:17.0,T. Gibson misses free throw 2 of 2,,92-78,,
8:16.0,,,92-78,,Defensive rebound by A. Bargnani
8:07.0,,,92-78,,S. Larkin misses 2-pt shot from 12 ft
8:06.0,,,92-78,,Offensive rebound by B. Lopez
8:05.0,,,92-80,2,B. Lopez makes 2-pt shot from 1 ft
8:05.0,,,92-80,,Shooting foul by J. Noah (drawn by B. Lopez)
8:05.0,,,92-81,1,B. Lopez makes free throw 1 of 1
7:38.0,D. McDermott makes 3-pt shot from 26 ft (assist by K. Hinrich),3,95-81,,
7:14.0,,,95-81,,Shooting foul by J. Noah (drawn by B. Lopez)
7:14.0,,,95-83,2,B. Lopez makes 2-pt shot from 13 ft
7:14.0,J. Butler enters the game for E. Moore,,95-83,,
7:14.0,,,95-83,,J. Johnson enters the game for R. Hollis-Jefferson
7:14.0,,,95-84,1,B. Lopez makes free throw 1 of 1
6:56.0,J. Noah misses 2-pt shot from 5 ft,,95-84,,
6:55.0,,,95-84,,Defensive rebound by A. Bargnani
6:33.0,,,95-84,,Turnover by B. Lopez (lost ball; steal by J. Noah)
6:30.0,Turnover by J. Noah (bad pass; steal by J. Johnson),,95-84,,
6:28.0,,,95-84,,Shooting foul by J. Noah (drawn by B. Bogdanovic)
6:28.0,,,95-85,1,B. Bogdanovic makes free throw 1 of 2
6:28.0,P. Gasol enters the game for J. Noah,,95-85,,
6:28.0,D. Rose enters the game for D. McDermott,,95-85,,
