time,Portland,pts.away,score,pts.home,Detroit
2:14.0,Turnover by A. Aminu (bad pass),,77-66,,
1:59.0,,,77-66,,Shooting foul by M. Harkless (drawn by M. Morris)
1:59.0,,,77-67,1,M. Morris makes free throw 1 of 2
1:59.0,,,77-68,1,M. Morris makes free throw 2 of 2
1:59.0,C. McCollum enters the game for D. Lillard,,77-67,,
1:45.0,,,77-68,,Violation by I. Smith (kicked ball)
1:42.0,Turnover by A. Aminu (traveling),,77-68,,
1:32.0,Personal foul by M. Harkless (drawn by M. Morris),,77-68,,
1:32.0,,,77-69,1,M. Morris makes free throw 1 of 2
1:32.0,,,77-70,1,M. Morris makes free throw 2 of 2
1:32.0,S. Napier enters the game for M. Harkless,,77-69,,
1:08.0,M. Leonard misses 2-pt shot from 6 ft,,77-70,,
1:08.0,,,77-70,,Defensive rebound by S. Johnson
1:00.0,,,77-73,3,S. Johnson makes 3-pt shot from 26 ft (assist by I. Smith)
0:46.0,M. Leonard misses 3-pt shot from 26 ft,,77-73,,
0:45.0,,,77-73,,Defensive rebound by S. Johnson
0:34.0,,,77-73,,Turnover by I. Smith (bad pass)
0:20.0,C. McCollum makes 2-pt shot from 1 ft,2,79-73,,
0:02.0,,,79-75,2,M. Morris makes 2-pt shot from 12 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,79-77,2,T. Harris makes 2-pt shot from 21 ft (assist by I. Smith)
11:25.0,S. Napier misses 2-pt shot from 5 ft,,79-77,,
11:25.0,,,79-77,,Defensive rebound by T. Harris
11:18.0,,,79-79,2,I. Smith makes 2-pt shot from 15 ft
11:05.0,C. McCollum makes 2-pt shot at rim (assist by M. Leonard),2,81-79,,
10:46.0,,,81-79,,I. Smith misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by A. Aminu,,81-79,,
10:29.0,M. Leonard makes 2-pt shot from 14 ft (assist by C. McCollum),2,83-79,,
10:13.0,,,83-81,2,K. Caldwell-Pope makes 2-pt shot from 14 ft
9:49.0,Turnover by C. McCollum (lost ball; steal by I. Smith),,83-81,,
9:45.0,,,83-81,,Turnover by I. Smith (lost ball; steal by C. McCollum)
9:39.0,Shooting foul by A. Baynes (drawn by A. Aminu),,83-81,,
9:39.0,A. Aminu makes free throw 1 of 2,1,84-81,,
9:39.0,A. Aminu makes free throw 2 of 2,1,85-81,,
9:24.0,,,85-81,,K. Caldwell-Pope misses 2-pt shot from 20 ft
9:23.0,Defensive rebound by M. Leonard,,85-81,,
9:20.0,Turnover by M. Leonard (bad pass; steal by K. Caldwell-Pope),,85-81,,
9:14.0,,,85-83,2,I. Smith makes 2-pt shot from 11 ft (assist by K. Caldwell-Pope)
8:58.0,C. McCollum misses 2-pt shot from 14 ft (block by I. Smith),,85-83,,
8:56.0,,,85-83,,Defensive rebound by S. Johnson
8:44.0,,,85-85,2,I. Smith makes 2-pt shot from 14 ft
8:44.0,Portland full timeout,,85-85,,
8:44.0,D. Lillard enters the game for C. McCollum,,85-85,,
8:44.0,M. Harkless enters the game for S. Napier,,85-85,,
8:44.0,,,85-85,,A. Drummond enters the game for A. Baynes
8:25.0,Turnover by A. Aminu (bad pass; steal by S. Johnson),,85-85,,
8:15.0,,,85-85,,Shooting foul by D. Lillard (drawn by I. Smith)
8:15.0,,,85-86,1,I. Smith makes free throw 1 of 2
8:15.0,,,85-87,1,I. Smith makes free throw 2 of 2
8:15.0,J. Nurkic enters the game for M. Leonard,,85-86,,
