time,Detroit,pts.away,score,pts.home,Miami
0:03.0,,,85-81,,Turnover by T. Johnson (bad pass; steal by T. Harris)
0:00.0,I. Smith misses 3-pt shot from 49 ft,,85-81,,
0:00.0,Offensive rebound by Team,,85-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,M. Morris makes 2-pt shot from 19 ft,2,87-81,,
11:31.0,,,87-81,,R. McGruder misses 2-pt shot from 8 ft
11:30.0,Defensive rebound by T. Harris,,87-81,,
11:22.0,M. Morris makes 2-pt shot from 2 ft,2,89-81,,
11:19.0,Personal foul by I. Smith (drawn by J. Richardson),,89-81,,
11:19.0,Detroit full timeout,,89-81,,
11:19.0,A. Drummond enters the game for A. Baynes,,89-81,,
10:59.0,,,89-81,,J. Richardson misses 2-pt shot from 14 ft
10:58.0,Defensive rebound by A. Drummond,,89-81,,
10:44.0,I. Smith misses 2-pt shot from 14 ft,,89-81,,
10:43.0,,,89-81,,Defensive rebound by R. McGruder
10:31.0,,,89-81,,J. Richardson misses 2-pt shot from 19 ft
10:30.0,Defensive rebound by A. Drummond,,89-81,,
10:23.0,I. Smith misses 2-pt shot from 2 ft (block by T. Johnson),,89-81,,
10:22.0,,,89-81,,Defensive rebound by U. Haslem
10:12.0,,,89-81,,L. Babbitt misses 2-pt shot from 18 ft
10:11.0,Defensive rebound by S. Johnson,,89-81,,
10:01.0,,,89-81,,Personal foul by L. Babbitt (drawn by A. Drummond)
10:01.0,,,89-81,,J. Johnson enters the game for L. Babbitt
9:44.0,T. Harris misses 2-pt shot from 22 ft,,89-81,,
9:43.0,Offensive rebound by A. Drummond,,89-81,,
9:42.0,A. Drummond makes 2-pt shot from 8 ft,2,91-81,,
9:40.0,,,91-81,,Miami full timeout
9:40.0,,,91-81,,W. Ellington enters the game for T. Johnson
9:27.0,,,91-81,,Offensive foul by U. Haslem
9:27.0,,,91-81,,Turnover by U. Haslem (offensive foul)
9:05.0,S. Johnson misses 3-pt shot from 25 ft,,91-81,,
9:04.0,,,91-81,,Defensive rebound by J. Johnson
8:46.0,,,91-81,,J. Johnson misses 2-pt shot from 9 ft
8:45.0,,,91-81,,Offensive rebound by U. Haslem
8:37.0,,,91-81,,U. Haslem misses 2-pt shot from 18 ft
8:36.0,Defensive rebound by T. Harris,,91-81,,
8:25.0,Offensive foul by A. Drummond,,91-81,,
8:25.0,Turnover by A. Drummond (offensive foul),,91-81,,
8:13.0,,,91-81,,R. McGruder misses 2-pt shot from 16 ft
8:12.0,Defensive rebound by S. Johnson,,91-81,,
8:03.0,T. Harris misses 3-pt shot from 25 ft,,91-81,,
8:02.0,Offensive rebound by Team,,91-81,,
8:02.0,,,91-81,,D. Williams enters the game for U. Haslem
7:54.0,M. Morris misses 2-pt shot from 20 ft,,91-81,,
7:53.0,,,91-81,,Defensive rebound by D. Williams
7:36.0,,,91-81,,J. Richardson misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by S. Johnson,,91-81,,
7:25.0,A. Drummond misses 2-pt shot from 6 ft,,91-81,,
7:24.0,Offensive rebound by A. Drummond,,91-81,,
7:23.0,Detroit full timeout,,91-81,,
7:23.0,R. Jackson enters the game for I. Smith,,91-81,,
7:23.0,,,91-81,,T. Johnson enters the game for R. McGruder
6:59.0,R. Jackson misses 2-pt shot from 20 ft,,91-81,,
6:58.0,,,91-81,,Defensive rebound by T. Johnson
6:55.0,,,91-81,,Shooting foul by T. Harris (drawn by D. Williams)
6:55.0,,,91-81,,D. Williams misses free throw 1 of 2
6:55.0,,,91-81,,Offensive rebound by Team
6:55.0,,,91-82,1,D. Williams makes free throw 2 of 2
6:55.0,K. Caldwell-Pope enters the game for S. Johnson,,91-81,,
6:39.0,M. Morris misses 2-pt shot from 13 ft,,91-82,,
6:38.0,,,91-82,,Defensive rebound by J. Johnson
6:28.0,,,91-82,,Turnover by J. Johnson (bad pass; steal by A. Drummond)
6:24.0,Turnover by T. Harris (lost ball; steal by T. Johnson),,91-82,,
6:12.0,,,91-84,2,D. Williams makes 2-pt shot from 3 ft
5:57.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,93-84,,
