time,Charlotte,pts.away,score,pts.home,Utah
5:10.0,Defensive rebound by N. Batum,,94-91,,
5:00.0,N. Batum misses 2-pt shot from 2 ft (block by R. Gobert),,94-91,,
5:00.0,,,94-91,,Defensive rebound by G. Hayward
4:50.0,,,94-91,,Turnover by J. Johnson (bad pass; steal by F. Kaminsky)
4:38.0,K. Walker makes 2-pt shot from 2 ft,2,96-91,,
4:20.0,,,96-93,2,G. Hayward makes 2-pt shot from 15 ft
3:57.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,96-93,,
3:56.0,Offensive rebound by Team,,96-93,,
3:55.0,,,96-93,,Loose ball foul by R. Gobert (drawn by K. Walker)
3:55.0,,,96-93,,J. Ingles enters the game for D. Exum
3:47.0,K. Walker misses 3-pt shot from 25 ft,,96-93,,
3:46.0,,,96-93,,Defensive rebound by J. Ingles
3:27.0,,,96-93,,J. Johnson misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by M. Kidd-Gilchrist,,96-93,,
3:11.0,N. Batum misses 2-pt shot from 6 ft,,96-93,,
3:10.0,,,96-93,,Defensive rebound by J. Ingles
2:54.0,,,96-96,3,G. Hill makes 3-pt shot from 23 ft (assist by J. Johnson)
2:29.0,K. Walker misses 2-pt shot from 3 ft (block by R. Gobert),,96-96,,
