time,Cleveland,pts.away,score,pts.home,Chicago
2:42.0,,,86-94,,Chicago full timeout
2:42.0,,,86-95,1,J. Butler makes free throw 1 of 2
2:42.0,,,86-95,,J. Butler misses free throw 2 of 2
2:40.0,Defensive rebound by J. Smith,,86-95,,
2:20.0,K. Irving misses 3-pt shot from 23 ft,,86-95,,
2:19.0,Offensive rebound by T. Thompson,,86-95,,
2:18.0,,,86-95,,Personal foul by D. Valentine (drawn by T. Thompson)
2:00.0,K. Irving misses 3-pt shot from 23 ft,,86-95,,
1:59.0,,,86-95,,Defensive rebound by N. Mirotic
1:37.0,,,86-95,,R. Rondo misses 2-pt shot from 3 ft
1:36.0,Defensive rebound by J. Smith,,86-95,,
1:28.0,Shooting foul by R. Lopez (drawn by L. James),,86-95,,
1:28.0,L. James makes free throw 1 of 2,1,87-95,,
1:28.0,L. James makes free throw 2 of 2,1,88-95,,
1:08.0,,,88-95,,J. Butler misses 2-pt shot from 16 ft
1:07.0,Defensive rebound by T. Thompson,,88-95,,
1:03.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,90-95,,
