time,LA Lakers,pts.away,score,pts.home,New Orleans
7:59.0,B. Ingram makes free throw 1 of 2,1,97-83,,
7:59.0,B. Ingram misses free throw 2 of 2,,97-83,,
7:57.0,,,97-83,,Defensive rebound by A. Davis
7:40.0,,,97-85,2,A. Davis makes 2-pt shot from 2 ft
7:39.0,LA Lakers full timeout,,97-85,,
7:39.0,D. Russell enters the game for B. Ingram,,97-85,,
7:23.0,T. Black makes 2-pt shot at rim (assist by L. Nance),2,99-85,,
7:08.0,,,99-85,,A. Davis misses 2-pt shot from 12 ft
7:08.0,Defensive rebound by L. Nance,,99-85,,
6:59.0,L. Nance misses 2-pt shot from 17 ft,,99-85,,
6:58.0,,,99-85,,Defensive rebound by L. Galloway
6:44.0,,,99-85,,T. Jones misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by L. Nance,,99-85,,
6:27.0,J. Clarkson makes 3-pt shot from 23 ft (assist by T. Black),3,102-85,,
6:02.0,,,102-85,,A. Davis misses 2-pt shot from 10 ft
6:02.0,Defensive rebound by Team,,102-85,,
6:02.0,J. Randle enters the game for T. Black,,102-85,,
5:48.0,L. Williams makes 2-pt shot from 2 ft (assist by D. Russell),2,104-85,,
5:30.0,,,104-87,2,B. Hield makes 2-pt shot from 2 ft
5:17.0,J. Clarkson makes 3-pt shot from 27 ft (assist by J. Randle),3,107-87,,
5:05.0,,,107-87,,E. Moore misses 2-pt shot from 2 ft (block by J. Randle)
5:05.0,,,107-87,,Offensive rebound by Team
5:05.0,,,107-87,,New Orleans full timeout
5:05.0,,,107-87,,T. Frazier enters the game for E. Moore
5:05.0,,,107-87,,A. Ajinca enters the game for L. Galloway
5:05.0,,,107-87,,A. Goodwin enters the game for T. Jones
4:51.0,,,107-87,,Turnover by T. Frazier (bad pass)
4:37.0,D. Russell makes 2-pt shot from 2 ft (assist by J. Randle),2,109-87,,
4:25.0,,,109-89,2,A. Davis makes 2-pt shot from 4 ft (assist by T. Frazier)
4:25.0,,,109-89,,Shooting foul by L. Nance (drawn by A. Davis)
4:25.0,,,109-90,1,A. Davis makes free throw 1 of 1
4:25.0,Violation by Team (delay of game),,109-90,,
4:04.0,J. Randle misses 2-pt shot from 8 ft,,109-90,,
4:03.0,Offensive rebound by J. Randle,,109-90,,
3:43.0,D. Russell makes 2-pt shot from 3 ft,2,111-90,,
3:29.0,,,111-92,2,B. Hield makes 2-pt shot from 2 ft
3:12.0,D. Russell misses 2-pt shot from 15 ft,,111-92,,
3:11.0,,,111-92,,Defensive rebound by B. Hield
3:01.0,,,111-92,,Turnover by B. Hield (bad pass; steal by L. Williams)
2:54.0,J. Clarkson makes 2-pt shot at rim (assist by L. Nance),2,113-92,,
2:36.0,,,113-92,,A. Davis misses 2-pt shot from 19 ft
2:36.0,Defensive rebound by J. Clarkson,,113-92,,
2:30.0,LA Lakers full timeout,,113-92,,
2:30.0,M. Huertas enters the game for J. Clarkson,,113-92,,
2:30.0,J. Calderon enters the game for L. Williams,,113-92,,
2:30.0,T. Robinson enters the game for L. Nance,,113-92,,
2:30.0,,,113-92,,D. Cunningham enters the game for A. Davis
2:30.0,,,113-92,,L. Galloway enters the game for B. Hield
2:12.0,D. Russell makes 3-pt shot from 25 ft (assist by J. Randle),3,116-92,,
