time,New York,pts.away,score,pts.home,Dallas
10:09.0,K. Porzingis misses 2-pt shot from 12 ft,,76-80,,
10:06.0,Offensive rebound by C. Lee,,76-80,,
10:06.0,C. Lee misses 2-pt shot from 2 ft,,76-80,,
10:05.0,Offensive rebound by C. Lee,,76-80,,
10:02.0,C. Lee makes 2-pt shot from 4 ft,2,78-80,,
9:44.0,,,78-80,,D. Harris misses 2-pt shot from 1 ft
9:42.0,Defensive rebound by K. Porzingis,,78-80,,
9:38.0,W. Hernangomez misses 2-pt shot from 2 ft (block by D. Nowitzki),,78-80,,
9:38.0,Offensive rebound by Team,,78-80,,
9:35.0,Turnover by M. Kuzminskas (bad pass),,78-80,,
9:21.0,,,78-83,3,D. Harris makes 3-pt shot from 25 ft
9:08.0,M. Kuzminskas misses 3-pt shot from 25 ft,,78-83,,
9:07.0,,,78-83,,Defensive rebound by D. Powell
9:01.0,,,78-83,,D. Harris misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by K. Porzingis,,78-83,,
8:52.0,Official timeout,,78-83,,
8:52.0,R. Baker enters the game for C. Lee,,78-83,,
8:50.0,K. Porzingis misses 2-pt shot from 16 ft,,78-83,,
8:49.0,Offensive rebound by W. Hernangomez,,78-83,,
8:47.0,W. Hernangomez makes 2-pt shot from 2 ft,2,80-83,,
8:26.0,,,80-85,2,D. Powell makes 2-pt shot at rim (assist by J. Anderson)
8:21.0,,,80-85,,Violation by J. Anderson (def goaltending)
8:21.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by B. Jennings),2,82-85,,
8:12.0,,,82-87,2,P. Jackson makes 2-pt shot from 3 ft
8:12.0,,,82-87,,Shooting foul by R. Baker (drawn by P. Jackson)
8:12.0,,,82-87,,P. Jackson misses free throw 1 of 1
8:11.0,Defensive rebound by W. Hernangomez,,82-87,,
7:59.0,Shooting foul by D. Powell (drawn by K. Porzingis),,82-87,,
7:59.0,K. Porzingis makes free throw 1 of 2,1,83-87,,
7:59.0,K. Porzingis makes free throw 2 of 2,1,84-87,,
7:59.0,C. Anthony enters the game for M. Kuzminskas,,83-87,,
7:59.0,,,83-87,,A. Bogut enters the game for D. Nowitzki
7:59.0,,,83-87,,H. Barnes enters the game for D. Powell
7:59.0,,,83-87,,S. Curry enters the game for P. Jackson
7:45.0,,,84-87,,J. Anderson misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by R. Baker,,84-87,,
7:33.0,W. Hernangomez makes 2-pt shot from 4 ft (assist by R. Baker),2,86-87,,
7:17.0,,,86-87,,Turnover by H. Barnes (lost ball; steal by W. Hernangomez)
7:13.0,Turnover by C. Anthony (bad pass; steal by J. Anderson),,86-87,,
7:12.0,,,86-87,,Shooting foul by C. Anthony (drawn by J. Anderson)
7:12.0,,,86-88,1,J. Anderson makes free throw 1 of 2
7:12.0,,,86-89,1,J. Anderson makes free throw 2 of 2
6:58.0,K. Porzingis makes 2-pt shot from 8 ft (assist by C. Anthony),2,88-89,,
6:40.0,,,88-89,,H. Barnes misses 2-pt shot from 3 ft (block by K. Porzingis)
6:38.0,Defensive rebound by K. Porzingis,,88-89,,
6:33.0,R. Baker misses 3-pt shot from 24 ft,,88-89,,
6:32.0,,,88-89,,Defensive rebound by J. Anderson
6:24.0,,,88-91,2,S. Curry makes 2-pt shot from 21 ft
6:05.0,,,88-91,,Personal foul by D. Harris (drawn by R. Baker)
6:05.0,D. Rose enters the game for B. Jennings,,88-91,,
6:05.0,,,88-91,,P. Jackson enters the game for D. Harris
5:57.0,R. Baker misses 2-pt shot from 16 ft,,88-91,,
5:55.0,,,88-91,,Defensive rebound by S. Curry
5:33.0,,,88-91,,J. Anderson misses 2-pt shot from 22 ft
5:32.0,Defensive rebound by W. Hernangomez,,88-91,,
5:24.0,D. Rose misses 2-pt shot from 17 ft,,88-91,,
5:22.0,,,88-91,,Defensive rebound by P. Jackson
5:10.0,,,88-93,2,H. Barnes makes 2-pt shot from 17 ft
5:09.0,New York full timeout,,88-93,,
5:09.0,C. Lee enters the game for R. Baker,,88-93,,
4:44.0,C. Lee misses 3-pt shot from 27 ft,,88-93,,
4:43.0,Offensive rebound by W. Hernangomez,,88-93,,
4:38.0,Turnover by C. Lee (bad pass; steal by J. Anderson),,88-93,,
4:33.0,,,88-95,2,P. Jackson makes 2-pt shot from 3 ft (assist by J. Anderson)
4:18.0,Turnover by D. Rose (lost ball; steal by H. Barnes),,88-95,,
4:00.0,,,88-95,,Shooting foul by W. Hernangomez (drawn by H. Barnes)
4:00.0,,,88-96,1,H. Barnes makes free throw 1 of 2
4:00.0,,,88-97,1,H. Barnes makes free throw 2 of 2
3:41.0,Turnover by C. Anthony (lost ball; steal by J. Anderson),,88-97,,
3:30.0,,,88-97,,Turnover by H. Barnes (back court)
3:30.0,J. Holiday enters the game for W. Hernangomez,,88-97,,
3:21.0,C. Anthony misses 3-pt shot from 24 ft,,88-97,,
3:19.0,,,88-97,,Defensive rebound by P. Jackson
2:58.0,,,88-97,,S. Curry misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by C. Anthony,,88-97,,
