time,Charlotte,pts.away,score,pts.home,Minnesota
6:12.0,,,93-92,,Z. LaVine enters the game for A. Wiggins
6:01.0,M. Belinelli makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,95-92,,
5:54.0,,,95-92,,Minnesota full timeout
5:54.0,,,95-92,,R. Rubio enters the game for K. Dunn
5:54.0,,,95-92,,A. Wiggins enters the game for N. Bjelica
5:54.0,,,95-92,,G. Dieng enters the game for C. Aldrich
5:44.0,,,95-95,3,K. Towns makes 3-pt shot from 25 ft (assist by Z. LaVine)
5:27.0,,,95-95,,Shooting block foul by R. Rubio (drawn by K. Walker)
5:27.0,K. Walker makes free throw 1 of 2,1,96-95,,
5:27.0,K. Walker makes free throw 2 of 2,1,97-95,,
5:12.0,,,97-95,,K. Towns misses 2-pt shot from 17 ft
5:11.0,,,97-95,,Offensive rebound by Team
5:11.0,Loose ball foul by N. Batum (drawn by A. Wiggins),,97-95,,
5:04.0,,,97-95,,Z. LaVine misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by C. Zeller,,97-95,,
4:50.0,K. Walker makes 2-pt shot from 2 ft,2,99-95,,
4:34.0,,,99-97,2,A. Wiggins makes 2-pt shot from 19 ft
4:18.0,M. Belinelli makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,102-97,,
4:01.0,,,102-100,3,R. Rubio makes 3-pt shot from 26 ft (assist by A. Wiggins)
3:45.0,N. Batum misses 3-pt shot from 26 ft,,102-100,,
3:44.0,,,102-100,,Defensive rebound by Team
3:25.0,,,102-100,,K. Towns misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by N. Batum,,102-100,,
3:04.0,F. Kaminsky makes 3-pt shot from 23 ft (assist by N. Batum),3,105-100,,
2:44.0,,,105-100,,A. Wiggins misses 2-pt shot from 1 ft
2:43.0,,,105-100,,Offensive rebound by Team
2:43.0,Charlotte full timeout,,105-100,,
2:43.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,105-100,,
