time,Indiana,pts.away,score,pts.home,Denver
4:23.0,M. Ellis makes free throw 1 of 2,1,95-124,,
4:23.0,M. Ellis makes free throw 2 of 2,1,96-124,,
4:23.0,,,95-124,,J. Murray enters the game for G. Harris
4:03.0,,,96-126,2,J. Murray makes 2-pt shot from 2 ft (assist by J. Nelson)
3:52.0,A. Brooks makes 2-pt shot from 5 ft,2,98-126,,
3:33.0,,,98-128,2,N. Jokic makes 2-pt shot from 2 ft (assist by D. Gallinari)
3:18.0,Shooting foul by W. Barton (drawn by M. Ellis),,98-128,,
3:18.0,M. Ellis makes free throw 1 of 2,1,99-128,,
3:18.0,M. Ellis makes free throw 2 of 2,1,100-128,,
3:18.0,,,99-128,,J. Hernangomez enters the game for N. Jokic
