time,Milwaukee,pts.away,score,pts.home,LA Clippers
1:39.0,,,65-66,,R. Felton enters the game for L. Mbah a Moute
1:26.0,M. Dellavedova misses 2-pt shot from 5 ft,,65-66,,
1:24.0,,,65-66,,Defensive rebound by M. Speights
1:14.0,,,65-68,2,J. Crawford makes 2-pt shot from 18 ft
1:14.0,,,65-68,,Shooting foul by J. Terry (drawn by J. Crawford)
1:14.0,,,65-69,1,J. Crawford makes free throw 1 of 1
0:56.0,Shooting foul by A. Rivers (drawn by G. Monroe),,65-69,,
0:56.0,G. Monroe misses free throw 1 of 2,,65-69,,
0:56.0,Offensive rebound by Team,,65-69,,
0:56.0,G. Monroe misses free throw 2 of 2,,65-69,,
0:55.0,,,65-69,,Defensive rebound by M. Speights
0:35.0,,,65-69,,A. Rivers misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by G. Monroe,,65-69,,
0:20.0,G. Monroe misses 2-pt shot from 3 ft (block by M. Speights),,65-69,,
0:19.0,Offensive rebound by G. Monroe,,65-69,,
0:17.0,G. Monroe makes 2-pt shot from 3 ft,2,67-69,,
0:02.0,,,67-69,,M. Speights misses 3-pt shot from 24 ft
0:00.0,,,67-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,67-69,,J. Crawford misses 2-pt shot from 5 ft
11:40.0,Defensive rebound by J. Henson,,67-69,,
11:31.0,M. Teletovic misses 2-pt shot from 1 ft,,67-69,,
11:29.0,Offensive rebound by J. Henson,,67-69,,
11:29.0,J. Henson makes 2-pt shot at rim,2,69-69,,
11:12.0,,,69-69,,A. Rivers misses 2-pt shot from 11 ft
11:11.0,,,69-69,,Offensive rebound by M. Speights
11:11.0,,,69-71,2,M. Speights makes 2-pt shot from 1 ft
10:44.0,J. Henson misses 2-pt shot from 6 ft,,69-71,,
10:42.0,,,69-71,,Defensive rebound by M. Speights
10:39.0,,,69-71,,Shooting foul by J. Terry (drawn by J. Crawford)
10:39.0,,,69-72,1,J. Crawford makes free throw 1 of 2
10:39.0,,,69-73,1,J. Crawford makes free throw 2 of 2
10:21.0,Turnover by K. Middleton (step out of bounds),,69-73,,
10:06.0,,,69-73,,A. Rivers misses 2-pt shot at rim
10:04.0,Defensive rebound by J. Henson,,69-73,,
9:56.0,Shooting foul by M. Speights (drawn by J. Henson),,69-73,,
9:56.0,J. Henson misses free throw 1 of 2,,69-73,,
9:56.0,Offensive rebound by Team,,69-73,,
9:56.0,J. Henson makes free throw 2 of 2,1,70-73,,
9:40.0,,,70-75,2,M. Speights makes 2-pt shot from 1 ft (assist by R. Felton)
9:28.0,M. Teletovic makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,73-75,,
9:10.0,,,73-75,,M. Speights misses 3-pt shot from 26 ft
9:10.0,Defensive rebound by K. Middleton,,73-75,,
9:05.0,Shooting foul by J. Crawford (drawn by K. Middleton),,73-75,,
9:05.0,K. Middleton makes free throw 1 of 2,1,74-75,,
9:05.0,K. Middleton makes free throw 2 of 2,1,75-75,,
9:05.0,,,74-75,,C. Paul enters the game for A. Rivers
8:52.0,,,75-75,,Turnover by C. Paul (lost ball; steal by K. Middleton)
8:49.0,Shooting foul by W. Johnson (drawn by K. Middleton),,75-75,,
8:49.0,Official timeout,,75-75,,
8:49.0,K. Middleton makes free throw 1 of 2,1,76-75,,
8:49.0,K. Middleton makes free throw 2 of 2,1,77-75,,
8:49.0,,,75-75,,D. Jordan enters the game for M. Speights
8:49.0,,,75-75,,B. Griffin enters the game for W. Johnson
8:41.0,,,77-75,,Turnover by C. Paul (bad pass; steal by M. Dellavedova)
8:26.0,Turnover by M. Dellavedova (traveling),,77-75,,
8:13.0,,,77-75,,Turnover by J. Crawford (step out of bounds)
8:00.0,K. Middleton misses 3-pt shot from 25 ft,,77-75,,
7:59.0,,,77-75,,Defensive rebound by R. Felton
7:45.0,,,77-77,2,R. Felton makes 2-pt shot from 9 ft (assist by C. Paul)
7:17.0,J. Terry makes 2-pt shot from 9 ft,2,79-77,,
