time,Sacramento,pts.away,score,pts.home,Boston
2:26.0,G. Temple enters the game for D. Collison,,68-66,,
2:26.0,,,68-66,,A. Horford enters the game for K. Olynyk
2:08.0,Turnover by D. Cousins (lost ball; steal by A. Bradley),,68-67,,
2:03.0,,,68-69,2,A. Bradley makes 2-pt shot from 18 ft
1:43.0,O. Casspi misses 3-pt shot from 26 ft,,68-69,,
1:41.0,Offensive rebound by G. Temple,,68-69,,
1:30.0,Shooting foul by A. Horford (drawn by M. Barnes),,68-69,,
1:30.0,M. Barnes makes free throw 1 of 2,1,69-69,,
1:30.0,M. Barnes makes free throw 2 of 2,1,70-69,,
1:30.0,,,69-69,,J. Jerebko enters the game for A. Johnson
1:30.0,W. Cauley-Stein enters the game for D. Cousins,,69-69,,
1:06.0,,,70-69,,A. Horford misses 2-pt shot from 2 ft
1:06.0,Defensive rebound by M. Barnes,,70-69,,
1:03.0,Turnover by M. Barnes (lost ball; steal by A. Horford),,70-69,,
0:56.0,,,70-69,,T. Rozier misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by M. Barnes,,70-69,,
0:50.0,T. Lawson makes 2-pt shot from 16 ft,2,72-69,,
0:29.0,,,72-69,,T. Rozier misses 3-pt shot from 26 ft
0:27.0,,,72-69,,Offensive rebound by J. Jerebko
0:27.0,,,72-69,,J. Jerebko misses 2-pt shot from 2 ft
0:26.0,Defensive rebound by W. Cauley-Stein,,72-69,,
0:02.0,Turnover by T. Lawson (lost ball; steal by T. Rozier),,72-69,,
0:00.0,,,72-69,,M. Smart misses 3-pt shot from 54 ft
0:00.0,,,72-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,72-69,,Personal foul by J. Crowder (drawn by R. Gay)
11:38.0,T. Lawson misses 3-pt shot from 26 ft,,72-69,,
11:37.0,,,72-69,,Defensive rebound by A. Horford
11:19.0,,,72-69,,A. Horford misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by R. Gay,,72-69,,
11:09.0,R. Gay makes 2-pt shot from 13 ft,2,74-69,,
10:52.0,,,74-72,3,J. Crowder makes 3-pt shot from 26 ft (assist by M. Smart)
10:29.0,Turnover by R. Gay (bad pass; steal by T. Rozier),,74-72,,
10:25.0,,,74-74,2,T. Rozier makes 2-pt shot from 1 ft
10:00.0,O. Casspi misses 2-pt shot from 2 ft,,74-74,,
10:00.0,,,74-74,,Defensive rebound by J. Jerebko
9:41.0,,,74-74,,M. Smart misses 2-pt shot from 15 ft
9:41.0,Defensive rebound by G. Temple,,74-74,,
9:31.0,G. Temple misses 3-pt shot from 24 ft,,74-74,,
9:30.0,,,74-74,,Defensive rebound by T. Rozier
9:15.0,,,74-74,,M. Smart misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by O. Casspi,,74-74,,
9:03.0,T. Lawson misses 2-pt shot from 17 ft,,74-74,,
9:02.0,,,74-74,,Defensive rebound by Team
8:45.0,,,74-74,,A. Horford misses 2-pt shot from 20 ft
8:44.0,Defensive rebound by R. Gay,,74-74,,
8:34.0,R. Gay makes 2-pt shot from 1 ft,2,76-74,,
8:31.0,,,76-74,,Boston full timeout
8:31.0,,,76-74,,I. Thomas enters the game for M. Smart
8:19.0,,,76-74,,T. Rozier misses 2-pt shot from 1 ft (block by T. Lawson)
8:18.0,,,76-74,,Offensive rebound by T. Rozier
8:13.0,,,76-74,,Turnover by J. Jerebko (bad pass; steal by R. Gay)
8:07.0,R. Gay misses 3-pt shot from 26 ft (block by A. Horford),,76-74,,
8:06.0,,,76-74,,Defensive rebound by A. Horford
7:54.0,,,76-76,2,A. Horford makes 2-pt shot from 7 ft (assist by I. Thomas)
7:38.0,W. Cauley-Stein misses 2-pt shot from 4 ft (block by A. Horford),,76-76,,
7:36.0,,,76-76,,Defensive rebound by T. Rozier
7:31.0,,,76-78,2,J. Jerebko makes 2-pt shot from 2 ft (assist by T. Rozier)
7:22.0,Sacramento full timeout,,76-78,,
7:22.0,,,76-78,,K. Olynyk enters the game for A. Horford
7:22.0,D. Cousins enters the game for W. Cauley-Stein,,76-78,,
7:16.0,Turnover by T. Lawson (bad pass; steal by T. Rozier),,76-78,,
7:10.0,,,76-78,,T. Rozier misses 2-pt shot at rim (block by G. Temple)
7:09.0,,,76-78,,Offensive rebound by K. Olynyk
7:08.0,,,76-80,2,K. Olynyk makes 2-pt shot from 1 ft
7:08.0,M. Barnes enters the game for D. Cousins,,76-80,,
6:48.0,M. Barnes misses 3-pt shot from 25 ft,,76-80,,
6:47.0,,,76-80,,Defensive rebound by J. Crowder
6:33.0,,,76-82,2,I. Thomas makes 2-pt shot from 1 ft (assist by T. Rozier)
6:33.0,,,76-82,,Shooting foul by G. Temple (drawn by I. Thomas)
6:33.0,,,76-83,1,I. Thomas makes free throw 1 of 1
6:33.0,D. Collison enters the game for T. Lawson,,76-82,,
6:16.0,,,76-83,,Personal foul by K. Olynyk (drawn by R. Gay)
6:08.0,G. Temple misses 2-pt shot from 2 ft,,76-83,,
6:07.0,,,76-83,,Defensive rebound by K. Olynyk
