time,Denver,pts.away,score,pts.home,Houston
2:44.0,,,77-78,,E. Gordon misses 3-pt shot from 24 ft
2:43.0,,,77-78,,Offensive rebound by L. Williams
2:38.0,,,77-78,,L. Williams misses 2-pt shot from 1 ft (block by J. Murray)
2:37.0,Defensive rebound by N. Jokic,,77-78,,
2:21.0,N. Jokic misses 3-pt shot from 25 ft,,77-78,,
2:20.0,,,77-78,,Defensive rebound by N. Hilario
2:09.0,,,77-80,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
2:00.0,M. Plumlee enters the game for N. Jokic,,77-80,,
1:46.0,J. Nelson misses 2-pt shot from 15 ft,,77-80,,
1:45.0,,,77-80,,Defensive rebound by J. Harden
1:39.0,,,77-83,3,J. Harden makes 3-pt shot from 25 ft
1:21.0,J. Murray misses 3-pt shot from 25 ft,,77-83,,
1:20.0,,,77-83,,Defensive rebound by Team
1:13.0,E. Mudiay enters the game for J. Nelson,,77-83,,
1:12.0,,,77-83,,Turnover by L. Williams (bad pass)
1:01.0,W. Chandler misses 2-pt shot from 16 ft,,77-83,,
1:01.0,,,77-83,,Defensive rebound by T. Williams
0:52.0,,,77-83,,J. Harden misses 2-pt shot from 2 ft
0:51.0,Defensive rebound by G. Harris,,77-83,,
0:47.0,E. Mudiay makes 2-pt shot from 2 ft (assist by G. Harris),2,79-83,,
0:36.0,,,79-83,,L. Williams misses 2-pt shot from 15 ft
0:35.0,Defensive rebound by W. Chandler,,79-83,,
0:28.0,M. Plumlee misses 2-pt shot from 2 ft,,79-83,,
0:28.0,,,79-83,,Defensive rebound by Team
0:05.0,,,79-83,,J. Harden misses 3-pt shot from 26 ft
0:04.0,,,79-83,,Offensive rebound by T. Williams
0:04.0,,,79-85,2,T. Williams makes 2-pt shot at rim
0:00.0,E. Mudiay misses 3-pt shot from 40 ft,,79-85,,
0:00.0,Offensive rebound by Team,,79-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by W. Chandler (lost ball; steal by E. Gordon),,79-85,,
11:41.0,,,79-85,,Turnover by P. Beverley (bad pass; steal by E. Mudiay)
11:35.0,D. Gallinari makes 2-pt shot from 2 ft (assist by E. Mudiay),2,81-85,,
11:17.0,,,81-85,,E. Gordon misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by E. Mudiay,,81-85,,
11:13.0,Shooting foul by P. Beverley (drawn by E. Mudiay),,81-85,,
11:13.0,E. Mudiay makes free throw 1 of 2,1,82-85,,
11:13.0,E. Mudiay makes free throw 2 of 2,1,83-85,,
11:04.0,,,83-85,,Shooting foul by M. Plumlee (drawn by E. Gordon)
11:04.0,,,83-85,,E. Gordon misses free throw 1 of 2
11:04.0,,,83-85,,Offensive rebound by Team
11:04.0,,,83-86,1,E. Gordon makes free throw 2 of 2
11:04.0,,,83-85,,T. Ariza enters the game for T. Williams
10:49.0,J. Murray misses 2-pt shot from 7 ft,,83-86,,
10:49.0,,,83-86,,Defensive rebound by C. Capela
10:38.0,,,83-86,,C. Capela misses 2-pt shot from 2 ft (block by M. Plumlee)
10:37.0,,,83-86,,Offensive rebound by E. Gordon
10:37.0,,,83-86,,E. Gordon misses 2-pt shot from 1 ft
10:35.0,Defensive rebound by W. Chandler,,83-86,,
10:32.0,Offensive charge foul by M. Plumlee,,83-86,,
10:32.0,Turnover by M. Plumlee (offensive foul),,83-86,,
10:18.0,,,83-86,,Shooting foul by M. Plumlee (drawn by C. Capela)
10:18.0,,,83-87,1,C. Capela makes free throw 1 of 2
10:18.0,,,83-87,,C. Capela misses free throw 2 of 2
10:17.0,,,83-87,,Offensive rebound by P. Beverley
10:17.0,,,83-87,,P. Beverley misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by D. Gallinari,,83-87,,
10:00.0,D. Gallinari misses 3-pt shot from 25 ft,,83-87,,
9:59.0,,,83-87,,Defensive rebound by L. Williams
9:49.0,,,83-87,,Turnover by C. Capela (traveling)
9:32.0,J. Murray misses 2-pt shot from 5 ft,,83-87,,
9:31.0,Offensive rebound by M. Plumlee,,83-87,,
9:31.0,M. Plumlee misses 2-pt shot from 1 ft,,83-87,,
9:31.0,,,83-87,,Defensive rebound by L. Williams
9:17.0,,,83-89,2,P. Beverley makes 2-pt shot from 9 ft
9:17.0,Denver full timeout,,83-89,,
8:57.0,Shooting foul by P. Beverley (drawn by E. Mudiay),,83-89,,
8:57.0,E. Mudiay makes free throw 1 of 2,1,84-89,,
8:57.0,E. Mudiay makes free throw 2 of 2,1,85-89,,
8:43.0,,,85-89,,L. Williams misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by E. Mudiay,,85-89,,
8:25.0,D. Gallinari makes 2-pt shot from 10 ft,2,87-89,,
8:12.0,,,87-89,,E. Gordon misses 2-pt shot from 7 ft
8:11.0,,,87-89,,Offensive rebound by C. Capela
