time,LA Clippers,pts.away,score,pts.home,Golden State
6:48.0,,,84-126,2,J. McAdoo makes 2-pt shot from 1 ft
6:31.0,M. Speights misses 2-pt shot from 13 ft,,84-126,,
6:30.0,,,84-126,,Defensive rebound by S. Livingston
6:20.0,,,84-128,2,S. Livingston makes 2-pt shot from 16 ft
6:04.0,B. Bass makes 2-pt shot from 15 ft (assist by A. Rivers),2,86-128,,
5:37.0,,,86-130,2,S. Livingston makes 2-pt shot from 16 ft (assist by I. Clark)
5:23.0,M. Speights misses 3-pt shot from 28 ft,,86-130,,
5:22.0,,,86-130,,Defensive rebound by K. Looney
5:08.0,,,86-132,2,J. McAdoo makes 2-pt shot from 16 ft (assist by K. Looney)
4:54.0,A. Anderson makes 3-pt shot from 25 ft (assist by M. Speights),3,89-132,,
4:53.0,,,89-132,,Golden State full timeout
4:53.0,D. Stone enters the game for A. Rivers,,89-132,,
4:53.0,R. Felton enters the game for M. Speights,,89-132,,
4:53.0,,,89-132,,A. Varejao enters the game for S. Livingston
4:38.0,,,89-134,2,I. Clark makes 2-pt shot from 19 ft (assist by A. Varejao)
4:19.0,D. Stone makes 2-pt shot from 19 ft (assist by B. Bass),2,91-134,,
4:06.0,,,91-134,,P. McCaw misses 3-pt shot from 27 ft
4:05.0,Defensive rebound by B. Bass,,91-134,,
3:51.0,Turnover by R. Felton (lost ball; steal by J. McAdoo),,91-134,,
3:47.0,,,91-136,2,P. McCaw makes 2-pt shot at rim (assist by J. McAdoo)
3:33.0,A. Anderson makes 3-pt shot from 24 ft (assist by B. Bass),3,94-136,,
3:19.0,,,94-136,,Shooting foul by D. Stone (drawn by A. Varejao)
3:19.0,,,94-136,,A. Varejao misses free throw 1 of 2
3:19.0,,,94-136,,Offensive rebound by Team
3:19.0,,,94-137,1,A. Varejao makes free throw 2 of 2
3:10.0,R. Felton misses 2-pt shot from 2 ft (block by A. Varejao),,94-137,,
3:09.0,,,94-137,,Defensive rebound by K. Looney
3:03.0,,,94-137,,I. Clark misses 3-pt shot from 26 ft
3:01.0,,,94-137,,Offensive rebound by K. Looney
2:45.0,,,94-139,2,K. Looney makes 2-pt shot from 2 ft (assist by A. Varejao)
2:19.0,R. Felton misses 3-pt shot from 28 ft,,94-139,,
2:18.0,,,94-139,,Defensive rebound by J. McAdoo
2:07.0,,,94-139,,K. Looney misses 3-pt shot from 26 ft
2:06.0,Defensive rebound by R. Felton,,94-139,,
