time,Brooklyn,pts.away,score,pts.home,Denver
9:13.0,Defensive rebound by T. Young,,91-73,,
9:13.0,Turnover by T. Young (dbl dribble),,91-73,,
9:13.0,,,91-73,,T. Lawson enters the game for K. Faried
9:01.0,,,91-73,,R. Foye misses 3-pt shot from 22 ft
9:01.0,Defensive rebound by Team,,91-73,,
9:01.0,,,91-73,,Loose ball foul by T. Lawson (drawn by M. Brown)
9:01.0,D. Williams enters the game for D. Morris,,91-73,,
9:01.0,J. Johnson enters the game for A. Anderson,,91-73,,
8:45.0,B. Lopez misses 3-pt shot from 22 ft,,91-73,,
8:44.0,,,91-73,,Defensive rebound by T. Lawson
8:27.0,,,91-73,,Turnover by W. Barton (lost ball; steal by T. Young)
8:23.0,Turnover by T. Young (bad pass; steal by T. Lawson),,91-73,,
8:19.0,,,91-73,,E. Green misses 2-pt shot from 17 ft
8:17.0,,,91-73,,Offensive rebound by W. Barton
8:14.0,,,91-73,,W. Barton misses 2-pt shot from 2 ft (block by M. Brown)
8:11.0,Defensive rebound by M. Brown,,91-73,,
8:03.0,Shooting foul by J. Nurkic (drawn by D. Williams),,91-73,,
8:03.0,Official timeout,,91-73,,
8:03.0,D. Williams makes free throw 1 of 2,1,92-73,,
8:03.0,D. Williams makes free throw 2 of 2,1,93-73,,
7:46.0,,,93-73,,E. Green misses 2-pt shot from 14 ft
7:45.0,Defensive rebound by D. Williams,,93-73,,
7:37.0,J. Johnson misses 3-pt shot from 25 ft,,93-73,,
7:36.0,,,93-73,,Defensive rebound by J. Nurkic
7:31.0,,,93-75,2,W. Barton makes 2-pt shot at rim (assist by T. Lawson)
7:15.0,M. Brown misses 3-pt shot from 25 ft,,93-75,,
7:14.0,Offensive rebound by B. Lopez,,93-75,,
7:13.0,Shooting foul by R. Foye (drawn by B. Lopez),,93-75,,
7:13.0,B. Lopez makes free throw 1 of 2,1,94-75,,
7:13.0,,,94-75,,D. Arthur enters the game for W. Barton
7:13.0,,,94-75,,D. Gallinari enters the game for J. Nurkic
