time,Indiana,pts.away,score,pts.home,Toronto
7:23.0,D. Rudez misses 2-pt shot from 18 ft,,78-93,,
7:22.0,,,78-93,,Defensive rebound by A. Johnson
7:17.0,,,78-95,2,L. Williams makes 2-pt shot from 1 ft (assist by J. Johnson)
7:16.0,Indiana full timeout,,78-95,,
7:16.0,C. Watson enters the game for L. Allen,,78-95,,
7:16.0,R. Stuckey enters the game for D. Sloan,,78-95,,
7:16.0,R. Hibbert enters the game for D. Rudez,,78-95,,
7:03.0,,,78-95,,Violation by J. Johnson (kicked ball)
6:53.0,C. Watson misses 3-pt shot from 26 ft,,78-95,,
6:52.0,,,78-95,,Defensive rebound by J. Johnson
6:37.0,,,78-97,2,J. Johnson makes 2-pt shot at rim
6:15.0,R. Stuckey misses 3-pt shot from 25 ft (block by J. Johnson),,78-97,,
6:15.0,Offensive rebound by Team,,78-97,,
6:15.0,,,78-97,,Personal foul by T. Hansbrough (drawn by R. Hibbert)
6:15.0,Personal foul by R. Hibbert,,78-97,,
6:15.0,Jump ball: R. Hibbert vs. A. Johnson (L. Scola gains possession),,,,Jump ball: R. Hibbert vs. A. Johnson (L. Scola gains possession)
5:55.0,S. Hill misses 2-pt shot from 4 ft,,78-97,,
5:54.0,Offensive rebound by L. Scola,,78-97,,
5:51.0,L. Scola makes 2-pt shot from 1 ft,2,80-97,,
5:37.0,,,80-99,2,J. Johnson makes 2-pt shot from 1 ft (assist by G. Vasquez)
5:25.0,,,80-99,,Personal foul by J. Johnson (drawn by S. Hill)
5:25.0,Official timeout,,80-99,,
5:25.0,,,80-99,,T. Ross enters the game for T. Hansbrough
5:25.0,,,80-99,,J. Valanciunas enters the game for J. Johnson
5:12.0,Shooting foul by A. Johnson (drawn by S. Hill),,80-99,,
5:12.0,S. Hill makes free throw 1 of 2,1,81-99,,
5:12.0,S. Hill misses free throw 2 of 2,,81-99,,
5:10.0,,,81-99,,Defensive rebound by L. Williams
4:54.0,,,81-99,,L. Williams misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by S. Hill,,81-99,,
