time,Golden State,pts.away,score,pts.home,Detroit
11:31.0,,,84-71,,Turnover by D. Augustin (bad pass; steal by S. Curry)
11:14.0,M. Speights makes 2-pt shot at rim (assist by S. Curry),2,86-71,,
10:57.0,,,86-71,,Shooting foul by M. Speights (drawn by G. Monroe)
10:57.0,,,86-71,,G. Monroe misses free throw 1 of 2
10:57.0,,,86-71,,Offensive rebound by Team
10:57.0,,,86-72,1,G. Monroe makes free throw 2 of 2
10:44.0,M. Speights misses 2-pt shot from 6 ft,,86-72,,
10:43.0,Offensive rebound by M. Speights,,86-72,,
10:37.0,S. Livingston makes 2-pt shot from 6 ft (assist by A. Iguodala),2,88-72,,
10:20.0,,,88-74,2,G. Monroe makes 2-pt shot from 3 ft (assist by D. Augustin)
10:02.0,M. Speights misses 2-pt shot from 16 ft,,88-74,,
10:01.0,Offensive rebound by S. Curry,,88-74,,
9:55.0,S. Curry misses 3-pt shot from 25 ft,,88-74,,
9:54.0,,,88-74,,Defensive rebound by C. Butler
9:46.0,,,88-74,,Turnover by G. Monroe (offensive foul)
9:46.0,,,88-74,,Offensive charge foul by G. Monroe
9:29.0,M. Speights misses 2-pt shot from 4 ft,,88-74,,
9:28.0,Offensive rebound by M. Speights,,88-74,,
9:28.0,Shooting foul by K. Caldwell-Pope (drawn by M. Speights),,88-74,,
9:28.0,M. Speights misses free throw 1 of 2,,88-74,,
9:28.0,Offensive rebound by Team,,88-74,,
9:28.0,M. Speights makes free throw 2 of 2,1,89-74,,
9:10.0,,,89-74,,D. Augustin misses 2-pt shot from 4 ft
9:09.0,Defensive rebound by M. Speights,,89-74,,
8:51.0,M. Speights misses 2-pt shot from 4 ft,,89-74,,
8:50.0,,,89-74,,Defensive rebound by G. Monroe
8:38.0,,,89-74,,G. Monroe misses 2-pt shot from 5 ft
8:38.0,,,89-74,,Offensive rebound by Team
8:38.0,Loose ball foul by M. Speights (drawn by J. Jerebko),,89-74,,
8:38.0,Official timeout,,89-74,,
8:38.0,D. Green enters the game for H. Barnes,,89-74,,
8:38.0,K. Thompson enters the game for S. Curry,,89-74,,
8:29.0,,,89-74,,K. Caldwell-Pope misses 3-pt shot from 25 ft
8:28.0,,,89-74,,Offensive rebound by Team
8:21.0,,,89-74,,K. Caldwell-Pope misses 2-pt shot from 6 ft
8:21.0,,,89-74,,Offensive rebound by G. Monroe
8:21.0,,,89-76,2,G. Monroe makes 2-pt shot at rim
8:21.0,,,89-76,,Shooting foul by D. Green (drawn by G. Monroe)
8:21.0,,,89-76,,G. Monroe misses free throw 1 of 1
8:20.0,Defensive rebound by M. Speights,,89-76,,
8:05.0,M. Speights misses 2-pt shot from 18 ft,,89-76,,
8:04.0,,,89-76,,Defensive rebound by K. Caldwell-Pope
7:50.0,,,89-76,,Turnover by K. Caldwell-Pope (lost ball; steal by A. Iguodala)
7:44.0,,,89-76,,Personal foul by D. Augustin (drawn by K. Thompson)
7:44.0,A. Bogut enters the game for M. Speights,,89-76,,
7:32.0,K. Thompson misses 2-pt shot from 7 ft,,89-76,,
7:31.0,,,89-76,,Defensive rebound by J. Jerebko
