time,Minnesota,pts.away,score,pts.home,New Orleans
1:03.0,Shooting foul by A. Davis (drawn by A. Wiggins),,65-77,,
1:03.0,,,65-77,,A. Ajinca enters the game for O. Asik
1:03.0,A. Wiggins makes free throw 1 of 1,1,66-77,,
0:46.0,,,66-77,,A. Davis misses 2-pt shot from 8 ft
0:45.0,Defensive rebound by A. Wiggins,,66-77,,
0:32.0,R. Hummel makes 2-pt shot from 21 ft (assist by L. Brown),2,68-77,,
0:07.0,,,68-77,,N. Cole misses 3-pt shot from 24 ft
0:06.0,Defensive rebound by A. Wiggins,,68-77,,
0:02.0,Shooting foul by E. Gordon (drawn by A. Wiggins),,68-77,,
0:02.0,A. Wiggins makes free throw 1 of 2,1,69-77,,
0:02.0,A. Bennett enters the game for A. Payne,,69-77,,
0:02.0,A. Wiggins makes free throw 2 of 2,1,70-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,70-79,2,A. Davis makes 2-pt shot from 15 ft (assist by N. Cole)
11:29.0,A. Wiggins misses 2-pt shot from 1 ft (block by D. Cunningham),,70-79,,
11:27.0,Offensive rebound by C. Budinger,,70-79,,
11:24.0,C. Budinger misses 2-pt shot from 2 ft (block by A. Ajinca),,70-79,,
11:23.0,,,70-79,,Defensive rebound by E. Gordon
11:20.0,,,70-81,2,E. Gordon makes 2-pt shot from 2 ft
11:04.0,Z. LaVine enters the game for L. Brown,,70-81,,
11:01.0,A. Bennett misses 2-pt shot from 2 ft,,70-81,,
11:00.0,,,70-81,,Defensive rebound by A. Ajinca
10:49.0,,,70-83,2,A. Davis makes 2-pt shot from 1 ft (assist by E. Gordon)
10:35.0,,,70-83,,Personal foul by N. Cole (drawn by Z. LaVine)
10:35.0,A. Payne enters the game for A. Wiggins,,70-83,,
10:24.0,C. Budinger makes 2-pt shot from 1 ft (assist by R. Hummel),2,72-83,,
10:16.0,Personal foul by A. Bennett (drawn by A. Davis),,72-83,,
10:11.0,,,72-83,,E. Gordon misses 2-pt shot from 15 ft
10:09.0,Defensive rebound by A. Bennett,,72-83,,
10:01.0,Turnover by A. Bennett (lost ball; steal by A. Davis),,72-83,,
9:59.0,,,72-83,,Shooting foul by R. Hummel (drawn by A. Davis)
9:59.0,Technical foul by A. Bennett,,72-83,,
9:59.0,,,72-84,1,A. Davis makes technical free throw
9:59.0,,,72-85,1,A. Davis makes free throw 1 of 2
9:59.0,,,72-85,,T. Douglas enters the game for E. Gordon
9:59.0,,,72-86,1,A. Davis makes free throw 2 of 2
9:48.0,Turnover by Z. LaVine (bad pass),,72-86,,
9:26.0,,,72-88,2,A. Ajinca makes 2-pt shot from 8 ft
9:25.0,Minnesota full timeout,,72-88,,
9:25.0,A. Wiggins enters the game for R. Hummel,,72-88,,
9:25.0,J. Hamilton enters the game for A. Bennett,,72-88,,
9:03.0,Z. LaVine misses 2-pt shot from 7 ft,,72-88,,
9:01.0,Offensive rebound by A. Payne,,72-88,,
9:00.0,A. Payne misses 2-pt shot at rim,,72-88,,
9:00.0,Offensive rebound by Z. LaVine,,72-88,,
9:00.0,Shooting foul by A. Davis (drawn by Z. LaVine),,72-88,,
9:00.0,Z. LaVine makes free throw 1 of 2,1,73-88,,
9:00.0,Z. LaVine makes free throw 2 of 2,1,74-88,,
8:41.0,,,74-88,,A. Davis misses 2-pt shot from 1 ft
8:40.0,Defensive rebound by A. Payne,,74-88,,
8:19.0,Turnover by A. Wiggins (bad pass; steal by T. Douglas),,74-88,,
8:16.0,,,74-88,,Shooting foul by A. Wiggins (drawn by A. Davis)
8:16.0,,,74-89,1,A. Davis makes free throw 1 of 2
8:16.0,,,74-89,,A. Davis misses free throw 2 of 2
8:14.0,Defensive rebound by A. Payne,,74-89,,
