time,Indiana,pts.away,score,pts.home,Memphis
11:34.0,,,61-75,2,N. Calathes makes 2-pt shot at rim
11:20.0,,,61-75,,Personal foul by V. Carter (drawn by P. George)
11:15.0,G. Hill misses 2-pt shot from 20 ft,,61-75,,
11:14.0,Offensive rebound by R. Stuckey,,61-75,,
10:46.0,R. Stuckey misses 3-pt shot from 24 ft,,61-75,,
10:44.0,Offensive rebound by I. Mahinmi,,61-75,,
10:44.0,I. Mahinmi makes 2-pt shot at rim,2,63-75,,
10:37.0,Personal take foul by P. George (drawn by V. Carter),,63-75,,
10:37.0,C. Miles enters the game for P. George,,63-75,,
10:27.0,,,63-75,,Turnover by N. Calathes (bad pass; steal by G. Hill)
10:24.0,G. Hill makes 2-pt shot at rim,2,65-75,,
10:05.0,,,65-75,,V. Carter misses 3-pt shot from 26 ft
10:04.0,Defensive rebound by I. Mahinmi,,65-75,,
9:58.0,C. Miles misses 3-pt shot from 24 ft,,65-75,,
9:56.0,,,65-75,,Defensive rebound by K. Koufos
9:42.0,,,65-75,,Offensive foul by M. Gasol
9:42.0,,,65-75,,Turnover by M. Gasol (offensive foul)
9:42.0,,,65-75,,J. Green enters the game for M. Gasol
9:30.0,R. Stuckey misses 2-pt shot from 16 ft,,65-75,,
9:28.0,,,65-75,,Defensive rebound by V. Carter
9:18.0,,,65-77,2,J. Green makes 2-pt shot from 6 ft (assist by N. Calathes)
9:03.0,L. Scola makes 2-pt shot from 1 ft (assist by R. Stuckey),2,67-77,,
8:42.0,,,67-79,2,N. Calathes makes 2-pt shot from 1 ft (assist by J. Green)
8:27.0,R. Stuckey misses 2-pt shot at rim,,67-79,,
8:27.0,Offensive rebound by Team,,67-79,,
8:27.0,,,67-79,,Loose ball foul by N. Calathes (drawn by I. Mahinmi)
8:27.0,Indiana full timeout,,67-79,,
8:27.0,S. Hill enters the game for G. Hill,,67-79,,
8:26.0,C. Miles misses 2-pt shot at rim,,67-79,,
8:23.0,,,67-79,,Defensive rebound by K. Koufos
8:04.0,,,67-79,,J. Green misses 2-pt shot from 7 ft (block by L. Scola)
8:02.0,Defensive rebound by L. Scola,,67-79,,
7:43.0,C. Miles misses 3-pt shot from 25 ft,,67-79,,
7:42.0,Offensive rebound by R. Stuckey,,67-79,,
