time,Miami,pts.away,score,pts.home,Cleveland
7:14.0,Defensive rebound by H. Whiteside,,78-99,,
7:05.0,G. Dragic misses 3-pt shot from 24 ft,,78-99,,
7:04.0,,,78-99,,Defensive rebound by Team
6:40.0,Violation by H. Whiteside (def goaltending),,78-99,,
6:40.0,,,78-101,2,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova)
6:40.0,,,78-101,,Shooting foul by L. Deng (drawn by L. James)
6:40.0,,,78-102,1,L. James makes free throw 1 of 1
6:25.0,L. Deng misses 2-pt shot from 1 ft,,78-102,,
6:20.0,,,78-102,,Defensive rebound by L. James
6:18.0,,,78-102,,I. Shumpert misses 3-pt shot from 24 ft
6:18.0,,,78-102,,Offensive rebound by T. Thompson
6:18.0,Personal foul by L. Deng (drawn by T. Thompson),,78-102,,
6:04.0,,,78-102,,K. Irving misses 2-pt shot from 6 ft
6:02.0,Defensive rebound by H. Whiteside,,78-102,,
5:46.0,H. Whiteside misses 2-pt shot from 8 ft,,78-102,,
5:45.0,Offensive rebound by L. Deng,,78-102,,
5:45.0,L. Deng misses 2-pt shot at rim,,78-102,,
5:42.0,Offensive rebound by L. Deng,,78-102,,
5:42.0,L. Deng misses 2-pt shot from 1 ft,,78-102,,
5:40.0,Offensive rebound by G. Dragic,,78-102,,
5:34.0,J. Ennis makes 3-pt shot from 25 ft (assist by G. Dragic),3,81-102,,
5:22.0,,,81-102,,Offensive foul by L. James
5:22.0,,,81-102,,Turnover by L. James (offensive foul)
5:22.0,T. Johnson enters the game for G. Dragic,,81-102,,
5:02.0,J. Ennis misses 2-pt shot from 5 ft,,81-102,,
5:00.0,,,81-102,,Defensive rebound by L. James
4:38.0,,,81-104,2,L. James makes 2-pt shot at rim
4:29.0,,,81-104,,Personal foul by L. James (drawn by M. Chalmers)
4:29.0,M. Beasley enters the game for L. Deng,,81-104,,
4:29.0,H. Walker enters the game for H. Whiteside,,81-104,,
4:29.0,Z. Dragic enters the game for M. Chalmers,,81-104,,
4:29.0,,,81-104,,J. Jones enters the game for L. James
4:29.0,,,81-104,,K. Perkins enters the game for T. Thompson
4:14.0,M. Beasley misses 2-pt shot from 14 ft,,81-104,,
4:12.0,,,81-104,,Defensive rebound by K. Irving
3:53.0,,,81-104,,M. Dellavedova misses 2-pt shot from 6 ft
3:52.0,Defensive rebound by M. Beasley,,81-104,,
3:49.0,Shooting foul by J. Jones (drawn by J. Ennis),,81-104,,
3:49.0,J. Ennis makes free throw 1 of 2,1,82-104,,
3:49.0,,,82-104,,J. Harris enters the game for K. Irving
3:49.0,J. Ennis makes free throw 2 of 2,1,83-104,,
3:27.0,,,83-104,,Shooting foul by M. Beasley (drawn by K. Perkins)
3:27.0,,,83-106,2,K. Perkins makes 2-pt shot from 1 ft (assist by M. Dellavedova)
