time,San Antonio,pts.away,score,pts.home,Portland
5:37.0,,,84-93,,Shooting foul by A. Baynes (drawn by L. Aldridge)
5:37.0,,,84-93,,Portland full timeout
5:37.0,D. Green enters the game for K. Anderson,,84-93,,
5:37.0,,,84-94,1,L. Aldridge makes free throw 1 of 1
5:24.0,,,84-94,,Personal foul by N. Batum (drawn by K. Leonard)
5:24.0,K. Leonard makes free throw 1 of 2,1,85-94,,
5:24.0,K. Leonard makes free throw 2 of 2,1,86-94,,
5:10.0,,,86-94,,L. Aldridge misses 2-pt shot from 20 ft
5:10.0,,,86-94,,Offensive rebound by Team
5:10.0,Loose ball foul by B. Diaw (drawn by T. Robinson),,86-94,,
5:00.0,,,86-94,,L. Aldridge misses 2-pt shot from 9 ft
5:00.0,Defensive rebound by A. Baynes,,86-94,,
4:51.0,K. Leonard makes 2-pt shot from 18 ft,2,88-94,,
4:36.0,,,88-97,3,N. Batum makes 3-pt shot from 23 ft (assist by L. Aldridge)
4:31.0,Offensive foul by A. Baynes,,88-97,,
4:31.0,Turnover by A. Baynes (offensive foul),,88-97,,
4:31.0,M. Belinelli enters the game for D. Green,,88-97,,
4:17.0,,,88-97,,W. Matthews misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by K. Leonard,,88-97,,
3:54.0,C. Joseph makes 2-pt shot from 2 ft,2,90-97,,
3:37.0,,,90-97,,L. Aldridge misses 2-pt shot from 3 ft
3:36.0,,,90-97,,Offensive rebound by L. Aldridge
3:36.0,,,90-97,,Shooting foul by K. Leonard (drawn by L. Aldridge)
3:36.0,,,90-98,1,L. Aldridge makes free throw 1 of 2
3:36.0,,,90-99,1,L. Aldridge makes free throw 2 of 2
3:21.0,A. Baynes misses 2-pt shot from 5 ft,,90-99,,
3:19.0,,,90-99,,Defensive rebound by T. Robinson
3:02.0,,,90-101,2,T. Robinson makes 2-pt shot from 18 ft (assist by N. Batum)
2:44.0,K. Leonard misses 2-pt shot from 16 ft,,90-101,,
2:43.0,,,90-101,,Defensive rebound by T. Robinson
2:36.0,Personal foul by B. Diaw (drawn by T. Robinson),,90-101,,
2:36.0,San Antonio full timeout,,90-101,,
2:36.0,,,90-102,1,T. Robinson makes free throw 1 of 2
2:36.0,,,90-103,1,T. Robinson makes free throw 2 of 2
2:23.0,,,90-103,,Personal foul by D. Lillard (drawn by C. Joseph)
2:23.0,C. Joseph makes free throw 1 of 2,1,91-103,,
2:23.0,C. Joseph misses free throw 2 of 2,,91-103,,
2:22.0,,,91-103,,Defensive rebound by Team
