time,LA Lakers,pts.away,score,pts.home,LA Clippers
0:08.0,W. Ellington misses free throw 1 of 2,,62-99,,
0:08.0,Offensive rebound by Team,,62-99,,
0:08.0,,,62-99,,S. Hawes enters the game for D. Jordan
0:08.0,,,62-99,,G. Davis enters the game for B. Griffin
0:08.0,,,62-99,,J. Farmar enters the game for C. Paul
0:08.0,W. Ellington makes free throw 2 of 2,1,63-99,,
0:01.0,,,63-99,,S. Hawes misses 3-pt shot from 26 ft
0:00.0,,,63-99,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,W. Ellington misses 3-pt shot from 29 ft (block by J. Crawford),,63-99,,
11:36.0,Offensive rebound by Team,,63-99,,
11:36.0,Turnover by Team (shot clock),,63-99,,
11:16.0,,,63-101,2,J. Farmar makes 2-pt shot from 16 ft (assist by J. Crawford)
11:01.0,J. Clarkson misses 3-pt shot from 24 ft,,63-101,,
10:59.0,,,63-101,,Defensive rebound by S. Hawes
10:42.0,,,63-101,,Shooting foul by R. Kelly (drawn by S. Hawes)
10:42.0,,,63-102,1,S. Hawes makes free throw 1 of 2
10:42.0,,,63-102,,S. Hawes misses free throw 2 of 2
10:40.0,Defensive rebound by T. Black,,63-102,,
10:28.0,Turnover by N. Young (bad pass; steal by J. Farmar),,63-102,,
10:28.0,Personal take foul by R. Kelly (drawn by J. Farmar),,63-102,,
10:16.0,,,63-104,2,G. Davis makes 2-pt shot from 1 ft
10:01.0,T. Black misses 2-pt shot from 1 ft,,63-104,,
10:00.0,,,63-104,,Defensive rebound by S. Hawes
9:44.0,,,63-106,2,G. Davis makes 2-pt shot from 17 ft
9:24.0,,,63-106,,Personal foul by G. Davis (drawn by N. Young)
9:15.0,,,63-106,,Personal foul by S. Hawes (drawn by R. Kelly)
9:08.0,N. Young misses 2-pt shot from 15 ft,,63-106,,
9:05.0,,,63-106,,Defensive rebound by J. Crawford
8:54.0,,,63-106,,Turnover by G. Davis (traveling)
8:54.0,Official timeout,,63-106,,
8:37.0,N. Young misses 3-pt shot from 24 ft,,63-106,,
8:36.0,,,63-106,,Defensive rebound by S. Hawes
8:20.0,,,63-106,,G. Davis misses 2-pt shot from 13 ft
8:19.0,Defensive rebound by J. Clarkson,,63-106,,
8:17.0,,,63-106,,Personal foul by J. Farmar (drawn by J. Clarkson)
8:06.0,J. Clarkson makes 2-pt shot from 17 ft,2,65-106,,
7:47.0,,,65-106,,Turnover by J. Crawford (lost ball)
7:34.0,Shooting foul by G. Davis (drawn by R. Kelly),,65-106,,
7:34.0,R. Kelly misses free throw 1 of 2,,65-106,,
7:34.0,Offensive rebound by Team,,65-106,,
7:34.0,R. Kelly makes free throw 2 of 2,1,66-106,,
7:19.0,,,66-106,,J. Farmar misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by N. Young,,66-106,,
7:00.0,N. Young makes 2-pt shot from 20 ft (assist by J. Clarkson),2,68-106,,
6:49.0,,,68-106,,R. Bullock misses 3-pt shot from 23 ft
6:48.0,Defensive rebound by W. Ellington,,68-106,,
6:42.0,J. Clarkson makes 2-pt shot from 1 ft,2,70-106,,
6:26.0,,,70-109,3,S. Hawes makes 3-pt shot from 25 ft (assist by J. Crawford)
6:01.0,T. Black makes 2-pt shot at rim (assist by J. Clarkson),2,72-109,,
6:01.0,Shooting foul by S. Hawes (drawn by T. Black),,72-109,,
6:01.0,J. Lin enters the game for W. Ellington,,72-109,,
6:01.0,,,72-109,,C. Wilcox enters the game for J. Crawford
6:01.0,,,72-109,,E. Udoh enters the game for S. Hawes
6:01.0,T. Black makes free throw 1 of 1,1,73-109,,
5:44.0,,,73-109,,R. Bullock misses 2-pt shot from 18 ft
5:44.0,Defensive rebound by Team,,73-109,,
5:44.0,,,73-109,,LA Clippers full timeout
5:44.0,LA Lakers full timeout,,73-109,,
5:26.0,N. Young misses 2-pt shot from 13 ft,,73-109,,
5:22.0,Offensive rebound by R. Kelly,,73-109,,
5:22.0,R. Kelly makes 2-pt shot from 1 ft,2,75-109,,
5:04.0,,,75-112,3,J. Farmar makes 3-pt shot from 24 ft (assist by E. Udoh)
4:47.0,,,75-112,,Personal foul by G. Davis (drawn by T. Black)
4:47.0,T. Black misses free throw 1 of 2,,75-112,,
4:47.0,Offensive rebound by Team,,75-112,,
4:47.0,T. Black misses free throw 2 of 2,,75-112,,
4:45.0,,,75-112,,Defensive rebound by G. Davis
4:23.0,,,75-112,,G. Davis misses 2-pt shot from 19 ft
4:22.0,Defensive rebound by R. Kelly,,75-112,,
3:58.0,J. Clarkson makes 2-pt shot from 3 ft,2,77-112,,
3:35.0,,,77-112,,Turnover by J. Farmar (lost ball; steal by N. Young)
3:29.0,J. Clarkson makes 2-pt shot at rim (assist by N. Young),2,79-112,,
3:09.0,,,79-112,,C. Wilcox misses 2-pt shot from 21 ft
3:08.0,Defensive rebound by R. Kelly,,79-112,,
2:57.0,Shooting foul by R. Bullock (drawn by N. Young),,79-112,,
2:57.0,N. Young makes 3-pt shot from 24 ft,3,82-112,,
2:57.0,N. Young makes free throw 1 of 1,1,83-112,,
2:41.0,,,83-114,2,C. Wilcox makes 2-pt shot from 1 ft (assist by J. Farmar)
2:23.0,N. Young misses 2-pt shot from 6 ft,,83-114,,
2:22.0,,,83-114,,Defensive rebound by Team
2:08.0,,,83-114,,C. Wilcox misses 3-pt shot from 23 ft
2:06.0,Defensive rebound by T. Black,,83-114,,
2:00.0,T. Black makes 2-pt shot at rim (assist by J. Lin),2,85-114,,
1:44.0,,,85-114,,E. Udoh misses 2-pt shot from 10 ft
