time,Atlanta,pts.away,score,pts.home,Brooklyn
1:39.0,,,62-62,,Defensive rebound by T. Young
1:33.0,,,62-62,,T. Young misses 2-pt shot from 2 ft
1:32.0,,,62-62,,Offensive rebound by T. Young
1:31.0,,,62-62,,T. Young misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by D. Schroder,,62-62,,
1:23.0,K. Bazemore misses 3-pt shot from 23 ft,,62-62,,
1:22.0,,,62-62,,Defensive rebound by J. Jack
1:14.0,,,62-64,2,T. Young makes 2-pt shot from 7 ft (assist by J. Jack)
0:53.0,P. Millsap misses 3-pt shot from 25 ft,,62-64,,
0:52.0,Offensive rebound by P. Antic,,62-64,,
0:50.0,P. Antic misses 2-pt shot from 2 ft (block by B. Lopez),,62-64,,
0:48.0,,,62-64,,Defensive rebound by J. Jack
0:40.0,,,62-67,3,J. Johnson makes 3-pt shot from 23 ft (assist by J. Jack)
0:31.0,D. Schroder misses 2-pt shot from 2 ft,,62-67,,
0:31.0,,,62-67,,Defensive rebound by J. Jack
0:07.0,,,62-67,,J. Johnson misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by P. Antic,,62-67,,
0:02.0,D. Schroder misses 2-pt shot from 2 ft,,62-67,,
0:00.0,,,62-67,,Defensive rebound by J. Johnson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,62-67,,B. Bogdanovic misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by A. Horford,,62-67,,
11:29.0,A. Horford misses 2-pt shot from 18 ft,,62-67,,
11:28.0,,,62-67,,Defensive rebound by T. Young
11:12.0,,,62-69,2,J. Johnson makes 2-pt shot from 4 ft
11:12.0,,,62-69,,Shooting foul by D. Carroll (drawn by J. Johnson)
11:12.0,,,62-70,1,J. Johnson makes free throw 1 of 1
10:56.0,Turnover by A. Horford (lost ball; steal by B. Bogdanovic),,62-70,,
10:45.0,Violation by D. Schroder (kicked ball),,62-70,,
10:30.0,,,62-72,2,B. Lopez makes 2-pt shot from 19 ft (assist by J. Jack)
10:20.0,K. Korver misses 2-pt shot from 16 ft,,62-72,,
10:19.0,,,62-72,,Defensive rebound by J. Jack
10:11.0,,,62-74,2,B. Lopez makes 2-pt shot from 3 ft (assist by J. Jack)
10:11.0,,,62-74,,Shooting foul by K. Korver (drawn by B. Lopez)
10:11.0,,,62-74,,B. Lopez misses free throw 1 of 1
10:10.0,Defensive rebound by A. Horford,,62-74,,
9:56.0,D. Schroder misses 2-pt shot from 17 ft,,62-74,,
9:55.0,,,62-74,,Defensive rebound by B. Lopez
9:39.0,Personal foul by K. Korver (drawn by J. Johnson),,62-74,,
9:39.0,,,62-74,,A. Anderson enters the game for T. Young
9:39.0,K. Bazemore enters the game for D. Carroll,,62-74,,
9:32.0,Personal foul by A. Horford (drawn by B. Lopez),,62-74,,
9:24.0,,,62-74,,B. Bogdanovic misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by K. Bazemore,,62-74,,
9:07.0,K. Korver misses 3-pt shot from 23 ft,,62-74,,
9:06.0,,,62-74,,Defensive rebound by J. Johnson
8:53.0,,,62-76,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson)
8:53.0,Atlanta full timeout,,62-76,,
