time,Atlanta,pts.away,score,pts.home,Charlotte
10:31.0,Defensive rebound by A. Horford,,80-73,,
10:23.0,D. Carroll misses 3-pt shot from 24 ft,,80-73,,
10:21.0,Offensive rebound by A. Horford,,80-73,,
10:07.0,A. Horford misses 2-pt shot from 1 ft,,80-73,,
10:06.0,,,80-73,,Defensive rebound by C. Zeller
9:43.0,,,80-75,2,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by B. Roberts)
9:21.0,Turnover by M. Scott (traveling),,80-75,,
9:21.0,K. Korver enters the game for T. Sefolosha,,80-75,,
9:21.0,,,80-75,,A. Jefferson enters the game for J. Maxiell
9:21.0,,,80-75,,L. Stephenson enters the game for G. Neal
9:05.0,,,80-77,2,A. Jefferson makes 2-pt shot at rim (assist by L. Stephenson)
8:49.0,A. Horford misses 2-pt shot from 19 ft,,80-77,,
8:48.0,,,80-77,,Defensive rebound by A. Jefferson
8:33.0,Personal foul by D. Schroder (drawn by A. Jefferson),,80-77,,
8:33.0,Official timeout,,80-77,,
8:26.0,,,80-77,,Turnover by B. Roberts (bad pass; steal by D. Schroder)
8:20.0,Turnover by D. Carroll (bad pass; steal by C. Zeller),,80-77,,
8:09.0,,,80-77,,A. Jefferson misses 2-pt shot from 9 ft
8:07.0,,,80-77,,Offensive rebound by L. Stephenson
7:56.0,,,80-79,2,C. Zeller makes 2-pt shot from 19 ft (assist by B. Roberts)
7:35.0,M. Scott misses 3-pt shot from 26 ft,,80-79,,
7:33.0,,,80-79,,Defensive rebound by A. Jefferson
7:22.0,,,80-79,,K. Walker enters the game for B. Roberts
7:22.0,,,80-79,,Offensive foul by M. Kidd-Gilchrist
7:22.0,,,80-79,,Turnover by M. Kidd-Gilchrist (offensive foul)
7:10.0,K. Korver misses 2-pt shot from 18 ft,,80-79,,
7:10.0,,,80-79,,Defensive rebound by K. Walker
7:10.0,Personal foul by D. Carroll (drawn by K. Walker),,80-79,,
7:10.0,P. Millsap enters the game for D. Schroder,,80-79,,
7:10.0,J. Teague enters the game for M. Scott,,80-79,,
6:52.0,,,80-79,,A. Jefferson misses 2-pt shot from 14 ft
6:48.0,Defensive rebound by P. Millsap,,80-79,,
6:41.0,Shooting foul by C. Zeller (drawn by A. Horford),,80-79,,
6:41.0,A. Horford makes free throw 1 of 2,1,81-79,,
6:41.0,A. Horford makes free throw 2 of 2,1,82-79,,
6:29.0,,,82-79,,L. Stephenson misses 2-pt shot from 18 ft
6:28.0,Defensive rebound by A. Horford,,82-79,,
6:19.0,J. Teague makes 2-pt shot from 19 ft,2,84-79,,
5:55.0,,,84-81,2,C. Zeller makes 2-pt shot from 18 ft (assist by K. Walker)
5:31.0,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague),2,86-81,,
5:18.0,,,86-83,2,A. Jefferson makes 2-pt shot from 17 ft (assist by K. Walker)
5:02.0,P. Millsap makes 3-pt shot from 23 ft (assist by J. Teague),3,89-83,,
4:53.0,,,89-83,,Charlotte full timeout
4:53.0,P. Antic enters the game for A. Horford,,89-83,,
4:53.0,,,89-83,,G. Neal enters the game for M. Kidd-Gilchrist
4:40.0,,,89-85,2,L. Stephenson makes 2-pt shot from 1 ft (assist by K. Walker)
4:23.0,P. Antic makes 2-pt shot from 19 ft (assist by J. Teague),2,91-85,,
3:58.0,,,91-87,2,A. Jefferson makes 2-pt shot from 8 ft
3:35.0,J. Teague misses 2-pt shot from 7 ft,,91-87,,
3:32.0,Offensive rebound by J. Teague,,91-87,,
3:30.0,,,91-87,,Personal foul by K. Walker (drawn by J. Teague)
3:24.0,K. Korver misses 3-pt shot from 26 ft,,91-87,,
3:22.0,,,91-87,,Defensive rebound by L. Stephenson
3:18.0,,,91-87,,Offensive charge foul by L. Stephenson
3:18.0,,,91-87,,Turnover by L. Stephenson (offensive foul)
3:00.0,Shooting foul by K. Walker (drawn by P. Millsap),,91-87,,
