time,LA Lakers,pts.away,score,pts.home,Atlanta
7:32.0,E. Davis misses 2-pt shot from 1 ft (block by P. Millsap),,95-90,,
7:31.0,Offensive rebound by E. Davis,,95-90,,
7:27.0,W. Johnson misses 2-pt shot from 15 ft,,95-90,,
7:26.0,,,95-90,,Defensive rebound by P. Millsap
7:19.0,,,95-90,,K. Korver misses 3-pt shot from 22 ft
7:18.0,Defensive rebound by E. Davis,,95-90,,
7:01.0,Turnover by R. Price (bad pass; steal by S. Mack),,95-90,,
6:57.0,,,95-92,2,S. Mack makes 2-pt shot from 1 ft
6:36.0,N. Young makes 2-pt shot from 19 ft (assist by W. Johnson),2,97-92,,
6:08.0,,,97-92,,Turnover by Team (shot clock)
6:08.0,,,97-92,,T. Sefolosha enters the game for A. Horford
6:08.0,,,97-92,,P. Antic enters the game for S. Mack
6:08.0,C. Boozer enters the game for E. Davis,,97-92,,
6:08.0,K. Bryant enters the game for W. Johnson,,97-92,,
6:08.0,J. Lin enters the game for R. Price,,97-92,,
6:08.0,J. Hill enters the game for R. Sacre,,97-92,,
5:51.0,J. Hill misses 2-pt shot from 7 ft,,97-92,,
5:50.0,,,97-92,,Defensive rebound by P. Antic
5:31.0,,,97-92,,Shooting foul by K. Bryant (drawn by P. Millsap)
5:31.0,,,97-92,,Atlanta full timeout
5:31.0,,,97-92,,J. Teague enters the game for D. Schroder
5:31.0,,,97-93,1,P. Millsap makes free throw 1 of 2
5:31.0,,,97-93,,P. Millsap misses free throw 2 of 2
5:29.0,Defensive rebound by J. Hill,,97-93,,
5:09.0,J. Lin misses 3-pt shot from 24 ft,,97-93,,
5:07.0,,,97-93,,Defensive rebound by T. Sefolosha
4:54.0,,,97-93,,P. Antic misses 2-pt shot from 16 ft
4:53.0,Defensive rebound by C. Boozer,,97-93,,
4:41.0,K. Bryant makes 2-pt shot from 19 ft,2,99-93,,
4:28.0,Personal foul by J. Lin (drawn by J. Teague),,99-93,,
4:28.0,,,99-94,1,J. Teague makes free throw 1 of 2
