time,Minnesota,pts.away,score,pts.home,Indiana
5:37.0,,,85-88,1,D. West makes free throw 2 of 2
5:31.0,,,85-88,,Personal foul by S. Hill (drawn by M. Williams)
5:31.0,,,85-88,,R. Stuckey enters the game for S. Hill
5:27.0,M. Williams makes 3-pt shot from 27 ft,3,88-88,,
5:05.0,,,88-88,,Shooting foul by T. Young (drawn by C. Miles)
5:05.0,,,88-89,1,C. Miles makes free throw 1 of 2
5:05.0,,,88-90,1,C. Miles makes free throw 2 of 2
4:52.0,R. Hummel misses 3-pt shot from 23 ft,,88-90,,
4:50.0,Offensive rebound by A. Wiggins,,88-90,,
4:50.0,A. Wiggins makes 2-pt shot at rim,2,90-90,,
4:32.0,,,90-90,,Turnover by D. West (lost ball; steal by T. Young)
4:29.0,Shooting foul by I. Mahinmi (drawn by A. Wiggins),,90-90,,
4:29.0,A. Wiggins makes 2-pt shot from 2 ft (assist by M. Williams),2,92-90,,
4:29.0,,,92-90,,L. Scola enters the game for I. Mahinmi
4:29.0,A. Wiggins makes free throw 1 of 1,1,93-90,,
4:12.0,,,93-90,,D. West misses 2-pt shot from 3 ft
4:11.0,Defensive rebound by T. Young,,93-90,,
4:05.0,M. Williams misses 3-pt shot from 25 ft,,93-90,,
4:03.0,Offensive rebound by G. Dieng,,93-90,,
4:02.0,G. Dieng misses 2-pt shot at rim (block by D. West),,93-90,,
4:01.0,Offensive rebound by G. Dieng,,93-90,,
4:01.0,Shooting foul by C. Watson (drawn by G. Dieng),,93-90,,
4:01.0,G. Dieng makes free throw 1 of 2,1,94-90,,
