time,Minnesota,pts.away,score,pts.home,Detroit
5:23.0,A. Wiggins misses 2-pt shot from 3 ft (block by A. Drummond),,74-63,,
5:21.0,Offensive rebound by Z. LaVine,,74-63,,
5:17.0,Z. LaVine makes 2-pt shot from 18 ft,2,76-63,,
5:07.0,,,76-63,,Offensive foul by A. Drummond
5:07.0,,,76-63,,Turnover by A. Drummond (offensive foul)
5:07.0,,,76-63,,A. Tolliver enters the game for A. Drummond
4:56.0,Shooting foul by K. Singler (drawn by A. Wiggins),,76-63,,
4:56.0,A. Wiggins makes free throw 1 of 2,1,77-63,,
4:56.0,G. Dieng enters the game for N. Pekovic,,77-63,,
4:56.0,A. Wiggins misses free throw 2 of 2,,77-63,,
4:55.0,Offensive rebound by G. Dieng,,77-63,,
4:46.0,Turnover by G. Dieng (bad pass; steal by K. Caldwell-Pope),,77-63,,
4:46.0,Personal foul by K. Martin (drawn by K. Caldwell-Pope),,77-63,,
4:37.0,,,77-63,,Shooting foul by G. Dieng (drawn by G. Monroe)
4:37.0,,,77-64,1,G. Monroe makes free throw 1 of 2
4:37.0,,,77-65,1,G. Monroe makes free throw 2 of 2
4:26.0,K. Martin misses 2-pt shot from 10 ft,,77-65,,
4:24.0,Offensive rebound by T. Young,,77-65,,
4:22.0,Turnover by T. Young (bad pass; steal by K. Caldwell-Pope),,77-65,,
4:08.0,,,77-67,2,D. Augustin makes 2-pt shot at rim
3:46.0,K. Martin misses 3-pt shot from 27 ft,,77-67,,
3:45.0,,,77-67,,Defensive rebound by A. Tolliver
3:39.0,,,77-67,,D. Augustin misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by G. Dieng,,77-67,,
3:31.0,Z. LaVine makes 2-pt shot at rim (assist by T. Young),2,79-67,,
3:01.0,,,79-67,,K. Singler misses 2-pt shot from 19 ft
2:59.0,Defensive rebound by K. Martin,,79-67,,
2:39.0,Turnover by G. Dieng (bad pass),,79-67,,
2:39.0,,,79-67,,J. Meeks enters the game for K. Caldwell-Pope
2:21.0,,,79-69,2,G. Monroe makes 2-pt shot at rim (assist by A. Tolliver)
1:50.0,Shooting foul by A. Tolliver (drawn by A. Wiggins),,79-69,,
1:50.0,A. Wiggins makes free throw 1 of 2,1,80-69,,
1:50.0,L. Brown enters the game for K. Martin,,80-69,,
1:50.0,A. Wiggins makes free throw 2 of 2,1,81-69,,
1:29.0,,,81-71,2,G. Monroe makes 2-pt shot from 3 ft
1:11.0,G. Dieng misses 2-pt shot from 13 ft,,81-71,,
1:10.0,,,81-71,,Defensive rebound by A. Tolliver
0:53.0,,,81-71,,Turnover by G. Monroe (bad pass; steal by G. Dieng)
0:46.0,L. Brown misses 2-pt shot from 2 ft (block by K. Singler),,81-71,,
0:44.0,,,81-71,,Defensive rebound by J. Meeks
0:39.0,,,81-71,,A. Tolliver misses 3-pt shot from 26 ft
0:38.0,Defensive rebound by L. Brown,,81-71,,
0:32.0,Turnover by G. Dieng (step out of bounds),,81-71,,
0:32.0,,,81-71,,J. Lucas III enters the game for D. Augustin
0:19.0,,,81-71,,J. Meeks misses 2-pt shot from 20 ft
0:19.0,,,81-71,,Offensive rebound by G. Monroe
0:19.0,,,81-71,,Shooting foul by G. Dieng (drawn by G. Monroe)
0:19.0,,,81-72,1,G. Monroe makes free throw 1 of 2
0:19.0,N. Pekovic enters the game for G. Dieng,,81-72,,
0:19.0,M. Williams enters the game for Z. LaVine,,81-72,,
0:19.0,K. Martin enters the game for L. Brown,,81-72,,
0:19.0,,,81-73,1,G. Monroe makes free throw 2 of 2
0:02.0,M. Williams misses 3-pt shot from 27 ft,,81-73,,
0:00.0,Offensive rebound by Team,,81-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,81-73,,C. Butler misses 3-pt shot from 26 ft
11:38.0,Defensive rebound by A. Bennett,,81-73,,
11:21.0,Turnover by M. Williams (lost ball),,81-73,,
11:10.0,,,81-75,2,J. Meeks makes 2-pt shot from 14 ft (assist by J. Lucas III)
10:56.0,K. Martin misses 2-pt shot from 9 ft,,81-75,,
10:55.0,,,81-75,,Defensive rebound by A. Drummond
10:45.0,,,81-75,,J. Lucas III misses 2-pt shot from 14 ft
10:44.0,,,81-75,,Offensive rebound by A. Drummond
10:39.0,,,81-77,2,A. Drummond makes 2-pt shot from 8 ft
10:39.0,Minnesota full timeout,,81-77,,
10:29.0,Offensive charge foul by A. Wiggins,,81-77,,
10:29.0,Turnover by A. Wiggins (offensive foul),,81-77,,
10:19.0,,,81-77,,Offensive foul by J. Lucas III
10:19.0,,,81-77,,Turnover by J. Lucas III (offensive foul)
10:07.0,K. Martin makes 2-pt shot at rim (assist by A. Bennett),2,83-77,,
9:44.0,,,83-79,2,J. Meeks makes 2-pt shot at rim (assist by C. Butler)
9:25.0,N. Pekovic misses 2-pt shot from 5 ft,,83-79,,
9:23.0,Offensive rebound by A. Wiggins,,83-79,,
9:19.0,A. Wiggins makes 3-pt shot from 26 ft,3,86-79,,
9:07.0,,,86-79,,J. Meeks misses 3-pt shot from 26 ft
9:06.0,Defensive rebound by A. Bennett,,86-79,,
8:47.0,K. Martin misses 3-pt shot from 26 ft,,86-79,,
8:46.0,,,86-79,,Defensive rebound by A. Drummond
8:31.0,,,86-79,,Turnover by A. Drummond (bad pass)
8:31.0,T. Young enters the game for A. Wiggins,,86-79,,
8:13.0,N. Pekovic makes 2-pt shot from 6 ft (assist by M. Williams),2,88-79,,
8:01.0,,,88-81,2,A. Drummond makes 2-pt shot from 1 ft
7:54.0,Turnover by M. Williams (lost ball; steal by J. Lucas III),,88-81,,
7:52.0,,,88-81,,Turnover by J. Lucas III (bad pass)
7:33.0,N. Pekovic makes 2-pt shot from 10 ft,2,90-81,,
7:16.0,,,90-81,,J. Lucas III misses 3-pt shot from 26 ft
7:15.0,Defensive rebound by A. Bennett,,90-81,,
6:57.0,Offensive foul by T. Young,,90-81,,
6:57.0,Turnover by T. Young (offensive foul),,90-81,,
6:57.0,,,90-81,,D. Augustin enters the game for J. Lucas III
6:46.0,,,90-81,,A. Tolliver misses 3-pt shot from 27 ft
6:45.0,Defensive rebound by K. Martin,,90-81,,
6:26.0,Shooting foul by J. Meeks (drawn by N. Pekovic),,90-81,,
6:26.0,N. Pekovic misses free throw 1 of 2,,90-81,,
6:26.0,Offensive rebound by Team,,90-81,,
6:26.0,N. Pekovic makes free throw 2 of 2,1,91-81,,
6:09.0,,,91-83,2,C. Butler makes 2-pt shot from 17 ft
5:52.0,M. Williams misses 2-pt shot from 17 ft,,91-83,,
5:51.0,Offensive rebound by M. Williams,,91-83,,
5:46.0,T. Young makes 3-pt shot from 23 ft (assist by M. Williams),3,94-83,,
5:28.0,Personal foul by T. Young (drawn by A. Drummond),,94-83,,
5:28.0,Official timeout,,94-83,,
5:28.0,,,94-83,,G. Monroe enters the game for A. Drummond
5:23.0,,,94-83,,Shooting foul by K. Martin (drawn by J. Meeks)
5:23.0,,,94-84,1,J. Meeks makes free throw 1 of 2
5:23.0,,,94-85,1,J. Meeks makes free throw 2 of 2
5:07.0,Shooting foul by G. Monroe (drawn by N. Pekovic),,94-85,,
5:07.0,,,94-85,,Technical foul by Team
5:07.0,K. Martin makes technical free throw,1,95-85,,
5:07.0,A. Wiggins enters the game for A. Bennett,,95-85,,
5:07.0,N. Pekovic makes free throw 1 of 2,1,96-85,,
5:07.0,N. Pekovic makes free throw 2 of 2,1,97-85,,
4:45.0,,,97-85,,J. Meeks misses 3-pt shot from 25 ft
4:44.0,,,97-85,,Offensive rebound by D. Augustin
4:36.0,,,97-85,,C. Butler misses 3-pt shot from 27 ft
4:35.0,Defensive rebound by T. Young,,97-85,,
4:20.0,Shooting foul by G. Monroe (drawn by N. Pekovic),,97-85,,
4:20.0,N. Pekovic makes free throw 1 of 2,1,98-85,,
4:20.0,,,98-85,,K. Caldwell-Pope enters the game for J. Meeks
4:20.0,,,98-85,,K. Singler enters the game for C. Butler
4:20.0,N. Pekovic makes free throw 2 of 2,1,99-85,,
4:09.0,,,99-85,,Turnover by G. Monroe (lost ball)
3:52.0,N. Pekovic misses 2-pt shot from 1 ft,,99-85,,
3:50.0,,,99-85,,Defensive rebound by D. Augustin
3:40.0,,,99-85,,D. Augustin misses 2-pt shot from 18 ft
3:40.0,Defensive rebound by K. Martin,,99-85,,
3:23.0,A. Wiggins makes 2-pt shot from 14 ft,2,101-85,,
3:07.0,,,101-85,,K. Singler misses 2-pt shot at rim
3:05.0,Defensive rebound by A. Wiggins,,101-85,,
2:43.0,N. Pekovic misses 2-pt shot from 14 ft,,101-85,,
2:41.0,,,101-85,,Defensive rebound by G. Monroe
2:37.0,,,101-85,,K. Caldwell-Pope misses 3-pt shot from 27 ft
2:37.0,,,101-85,,Offensive rebound by A. Tolliver
2:37.0,,,101-87,2,A. Tolliver makes 2-pt shot at rim
2:37.0,,,101-87,,Shooting foul by T. Young (drawn by A. Tolliver)
2:37.0,,,101-87,,Detroit full timeout
2:37.0,,,101-87,,A. Drummond enters the game for G. Monroe
