time,LA Lakers,pts.away,score,pts.home,Oklahoma City
8:09.0,,,87-84,,R. Westbrook enters the game for A. Abrines
8:09.0,B. Ingram enters the game for C. Brewer,,87-84,,
7:59.0,B. Ingram makes 2-pt shot from 11 ft,2,89-84,,
7:41.0,,,89-84,,Oklahoma City full timeout
7:34.0,,,89-84,,J. Grant misses 2-pt shot from 1 ft (block by L. Nance)
7:31.0,,,89-84,,Offensive rebound by J. Grant
7:30.0,,,89-84,,P. Patterson misses 3-pt shot from 26 ft
7:29.0,Defensive rebound by Team,,89-84,,
7:20.0,,,89-84,,Violation by P. George (kicked ball)
7:20.0,,,89-84,,S. Adams enters the game for J. Grant
7:20.0,B. Lopez enters the game for L. Nance,,89-84,,
7:13.0,Turnover by J. Hart (bad pass; steal by R. Felton),,89-84,,
7:10.0,,,89-86,2,R. Westbrook makes 2-pt shot from 1 ft (assist by P. Patterson)
6:52.0,J. Clarkson makes 2-pt shot from 5 ft,2,91-86,,
6:38.0,,,91-86,,Shooting foul by J. Hart (drawn by P. George)
6:38.0,,,91-87,1,P. George makes free throw 1 of 2
6:38.0,,,91-87,,C. Anthony enters the game for P. Patterson
6:38.0,J. Randle enters the game for K. Kuzma,,91-87,,
6:38.0,,,91-88,1,P. George makes free throw 2 of 2
6:23.0,Turnover by J. Randle (lost ball; steal by S. Adams),,91-88,,
6:10.0,,,91-88,,P. George misses 2-pt shot from 5 ft (block by B. Ingram)
6:10.0,Defensive rebound by Team,,91-88,,
5:51.0,B. Ingram makes 3-pt shot from 22 ft (assist by J. Randle),3,94-88,,
5:35.0,,,94-88,,R. Westbrook misses 3-pt shot from 25 ft
5:30.0,,,94-88,,Offensive rebound by R. Felton
5:26.0,,,94-88,,J. Grant enters the game for R. Felton
5:15.0,,,94-88,,P. George misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by J. Hart,,94-88,,
4:55.0,B. Lopez misses 2-pt shot from 7 ft,,94-88,,
4:53.0,,,94-88,,Defensive rebound by J. Grant
4:42.0,,,94-90,2,J. Grant makes 2-pt shot at rim
