time,Houston,pts.away,score,pts.home,Sacramento
5:29.0,,,89-81,2,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by B. Hield)
5:13.0,J. Harden makes 3-pt shot from 25 ft,3,92-81,,
4:59.0,,,92-83,2,G. Hill makes 2-pt shot from 1 ft (assist by G. Temple)
4:38.0,E. Gordon misses 3-pt shot from 24 ft,,92-83,,
4:36.0,,,92-83,,Defensive rebound by Team
4:19.0,,,92-86,3,B. Hield makes 3-pt shot from 25 ft
4:08.0,Turnover by E. Gordon (palming),,92-86,,
3:54.0,,,92-88,2,W. Cauley-Stein makes 2-pt shot from 6 ft (assist by G. Hill)
3:38.0,J. Harden makes 2-pt shot from 1 ft,2,94-88,,
3:25.0,Personal foul by C. Capela (drawn by G. Hill),,94-88,,
3:12.0,,,94-88,,G. Hill misses 2-pt shot from 9 ft
3:07.0,Defensive rebound by C. Capela,,94-88,,
3:04.0,E. Gordon makes 2-pt shot from 1 ft (assist by J. Harden),2,96-88,,
2:47.0,,,96-88,,B. Hield misses 2-pt shot from 14 ft
2:42.0,Defensive rebound by T. Ariza,,96-88,,
2:33.0,J. Harden misses 3-pt shot from 24 ft,,96-88,,
2:28.0,,,96-88,,Defensive rebound by B. Hield
2:26.0,,,96-90,2,B. Hield makes 2-pt shot from 1 ft
2:16.0,Houston full timeout,,96-90,,
2:16.0,P. Tucker enters the game for C. Capela,,96-90,,
2:05.0,E. Gordon misses 3-pt shot from 25 ft,,96-90,,
2:01.0,,,96-90,,Defensive rebound by W. Cauley-Stein
1:52.0,,,96-90,,Turnover by S. Labissiere (bad pass)
1:41.0,J. Harden misses 3-pt shot from 25 ft,,96-90,,
1:37.0,,,96-90,,Defensive rebound by S. Labissiere
1:22.0,,,96-92,2,S. Labissiere makes 2-pt shot from 22 ft (assist by B. Hield)
0:58.0,Turnover by Team (shot clock),,96-92,,
0:57.0,E. Gordon misses 2-pt shot from 20 ft,,96-92,,
0:57.0,Offensive rebound by Team,,96-92,,
0:41.0,,,96-92,,Shooting foul by P. Tucker (drawn by W. Cauley-Stein)
0:41.0,,,96-93,1,W. Cauley-Stein makes free throw 1 of 2
0:41.0,C. Capela enters the game for P. Tucker,,96-93,,
0:41.0,,,96-93,,W. Cauley-Stein misses free throw 2 of 2
0:38.0,Defensive rebound by C. Capela,,96-93,,
0:28.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,98-93,,
0:28.0,,,98-93,,Sacramento full timeout
0:28.0,P. Tucker enters the game for R. Anderson,,98-93,,
