time,Boston,pts.away,score,pts.home,Detroit
1:26.0,Offensive rebound by Team,,70-57,,
1:26.0,S. Larkin enters the game for J. Brown,,70-57,,
1:26.0,D. Theis enters the game for A. Horford,,70-57,,
1:26.0,M. Smart misses free throw 2 of 2,,70-57,,
1:24.0,,,70-57,,Defensive rebound by A. Tolliver
1:14.0,,,70-57,,I. Smith misses 2-pt shot from 1 ft
1:12.0,Defensive rebound by S. Ojeleye,,70-57,,
1:02.0,Turnover by M. Smart (turnover),,70-57,,
0:52.0,,,70-57,,Turnover by L. Galloway (bad pass; steal by S. Larkin)
0:35.0,M. Smart misses 2-pt shot from 19 ft,,70-57,,
0:31.0,,,70-57,,Defensive rebound by E. Moreland
0:21.0,,,70-59,2,I. Smith makes 2-pt shot from 3 ft
0:00.0,T. Rozier makes 3-pt shot from 28 ft (assist by S. Larkin),3,73-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,73-59,,Shooting foul by M. Smart (drawn by B. Marjanovic)
11:44.0,,,73-60,1,B. Marjanovic makes free throw 1 of 2
11:44.0,,,73-61,1,B. Marjanovic makes free throw 2 of 2
11:23.0,D. Theis misses 2-pt shot from 1 ft (block by A. Tolliver),,73-61,,
11:20.0,Offensive rebound by D. Theis,,73-61,,
11:18.0,Turnover by D. Theis (bad pass; steal by L. Kennard),,73-61,,
11:12.0,,,73-61,,Turnover by A. Tolliver (bad pass; steal by D. Theis)
11:07.0,S. Ojeleye makes 2-pt shot from 1 ft (assist by T. Rozier),2,75-61,,
10:46.0,,,75-63,2,A. Tolliver makes 2-pt shot at rim (assist by B. Marjanovic)
10:26.0,S. Larkin makes 2-pt shot from 16 ft,2,77-63,,
10:08.0,,,77-63,,L. Kennard misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by M. Smart,,77-63,,
10:06.0,,,77-63,,Personal foul by S. Johnson (drawn by M. Smart)
10:06.0,A. Horford enters the game for D. Theis,,77-63,,
9:56.0,A. Horford misses 3-pt shot from 25 ft,,77-63,,
9:53.0,,,77-63,,Defensive rebound by A. Tolliver
9:48.0,,,77-63,,A. Tolliver misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by T. Rozier,,77-63,,
9:38.0,A. Horford misses 3-pt shot from 24 ft,,77-63,,
9:34.0,,,77-63,,Defensive rebound by I. Smith
9:28.0,,,77-63,,S. Johnson misses 3-pt shot from 22 ft
9:24.0,Defensive rebound by S. Ojeleye,,77-63,,
9:08.0,A. Horford misses 2-pt shot from 17 ft,,77-63,,
9:04.0,Offensive rebound by S. Ojeleye,,77-63,,
8:57.0,,,77-63,,Personal foul by S. Johnson (drawn by M. Smart)
8:57.0,,,77-63,,T. Harris enters the game for A. Tolliver
8:49.0,Shooting foul by B. Marjanovic (drawn by M. Smart),,77-63,,
8:49.0,M. Smart makes free throw 1 of 2,1,78-63,,
8:49.0,M. Smart makes free throw 2 of 2,1,79-63,,
8:42.0,Personal foul by A. Horford (drawn by B. Marjanovic),,79-63,,
8:31.0,,,79-65,2,S. Johnson makes 2-pt shot from 1 ft
8:07.0,S. Ojeleye misses 3-pt shot from 22 ft,,79-65,,
8:04.0,,,79-65,,Defensive rebound by S. Johnson
7:49.0,,,79-65,,I. Smith misses 2-pt shot from 15 ft
7:45.0,Defensive rebound by S. Larkin,,79-65,,
7:38.0,M. Smart misses 3-pt shot from 25 ft,,79-65,,
7:35.0,,,79-65,,Defensive rebound by I. Smith
7:28.0,,,79-65,,B. Marjanovic misses 2-pt shot from 4 ft
7:27.0,Defensive rebound by A. Horford,,79-65,,
7:27.0,,,79-65,,Personal foul by B. Marjanovic (drawn by A. Horford)
7:27.0,,,79-65,,R. Bullock enters the game for L. Kennard
7:27.0,K. Irving enters the game for M. Smart,,79-65,,
7:27.0,D. Theis enters the game for A. Horford,,79-65,,
7:11.0,S. Ojeleye misses 3-pt shot from 25 ft,,79-65,,
7:07.0,Offensive rebound by S. Larkin,,79-65,,
7:01.0,T. Rozier misses 3-pt shot from 24 ft,,79-65,,
6:57.0,,,79-65,,Defensive rebound by T. Harris
6:55.0,,,79-67,2,R. Bullock makes 2-pt shot from 1 ft (assist by T. Harris)
6:55.0,,,79-67,,Shooting foul by T. Rozier (drawn by R. Bullock)
6:55.0,,,79-67,,A. Drummond enters the game for B. Marjanovic
6:55.0,,,79-67,,Detroit full timeout
6:55.0,,,79-67,,A. Bradley enters the game for S. Johnson
6:55.0,J. Tatum enters the game for S. Ojeleye,,79-67,,
6:55.0,,,79-67,,R. Bullock misses free throw 1 of 1
6:50.0,,,79-67,,Offensive rebound by R. Bullock
6:44.0,,,79-67,,A. Drummond misses 2-pt shot from 2 ft
6:41.0,,,79-67,,Offensive rebound by R. Bullock
6:33.0,Personal foul by S. Larkin (drawn by A. Drummond),,79-67,,
6:24.0,,,79-67,,T. Harris misses 2-pt shot from 4 ft (block by D. Theis)
6:21.0,Defensive rebound by J. Tatum,,79-67,,
6:07.0,D. Theis misses 2-pt shot from 7 ft,,79-67,,
6:04.0,,,79-67,,Defensive rebound by T. Harris
6:00.0,,,79-67,,A. Bradley misses 3-pt shot from 25 ft
5:55.0,,,79-67,,Offensive rebound by T. Harris
5:51.0,,,79-70,3,T. Harris makes 3-pt shot from 26 ft (assist by I. Smith)
