time,Denver,pts.away,score,pts.home,Brooklyn
11:35.0,N. Jokic makes 3-pt shot from 25 ft (assist by E. Mudiay),3,103-86,,
11:20.0,,,103-88,2,T. Booker makes 2-pt shot from 15 ft
11:02.0,G. Harris misses 2-pt shot from 4 ft,,103-88,,
11:00.0,,,103-88,,Defensive rebound by T. Booker
10:53.0,,,103-88,,D. Russell misses 3-pt shot from 27 ft
10:53.0,,,103-88,,Offensive rebound by T. Booker
10:45.0,,,103-88,,T. Booker misses 2-pt shot at rim
10:43.0,,,103-88,,Offensive rebound by T. Booker
10:37.0,,,103-88,,T. Booker misses 2-pt shot from 3 ft
10:35.0,Defensive rebound by W. Barton,,103-88,,
10:30.0,W. Barton misses 2-pt shot from 5 ft,,103-88,,
10:27.0,,,103-88,,Defensive rebound by T. Booker
10:23.0,,,103-91,3,S. Dinwiddie makes 3-pt shot from 26 ft (assist by T. Booker)
10:21.0,Denver full timeout,,103-91,,
10:07.0,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris),2,105-91,,
10:07.0,Shooting foul by R. Hollis-Jefferson (drawn by N. Jokic),,105-91,,
10:07.0,N. Jokic makes free throw 1 of 1,1,106-91,,
9:59.0,,,106-93,2,D. Russell makes 2-pt shot from 6 ft
9:36.0,E. Mudiay misses 2-pt shot from 4 ft,,106-93,,
9:33.0,Offensive rebound by N. Jokic,,106-93,,
9:33.0,N. Jokic misses 2-pt shot at rim,,106-93,,
9:33.0,,,106-93,,Defensive rebound by Team
9:33.0,Loose ball foul by M. Plumlee (drawn by T. Booker),,106-93,,
9:33.0,,,106-93,,C. LeVert enters the game for S. Dinwiddie
9:33.0,J. Murray enters the game for E. Mudiay,,106-93,,
9:18.0,,,106-93,,T. Booker misses 2-pt shot from 2 ft
9:15.0,Defensive rebound by N. Jokic,,106-93,,
9:01.0,N. Jokic misses 2-pt shot from 5 ft,,106-93,,
9:01.0,,,106-93,,Defensive rebound by Team
9:00.0,Loose ball foul by N. Jokic (drawn by R. Hollis-Jefferson),,106-93,,
8:54.0,,,106-93,,D. Russell misses 3-pt shot from 24 ft
8:50.0,,,106-93,,Offensive rebound by C. LeVert
8:49.0,,,106-95,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by D. Russell)
8:49.0,,,106-95,,Shooting foul by M. Plumlee (drawn by R. Hollis-Jefferson)
8:49.0,W. Chandler enters the game for W. Barton,,106-95,,
8:49.0,P. Millsap enters the game for M. Plumlee,,106-95,,
8:49.0,,,106-95,,R. Hollis-Jefferson misses free throw 1 of 1
8:47.0,,,106-95,,Offensive rebound by D. Russell
