time,Sacramento,pts.away,score,pts.home,Utah
6:30.0,J. Sampson makes 3-pt shot from 25 ft (assist by B. Hield),3,86-85,,
6:00.0,,,86-85,,D. Mitchell misses 3-pt shot from 26 ft
5:57.0,Defensive rebound by J. Sampson,,86-85,,
5:48.0,W. Cauley-Stein misses 2-pt shot from 18 ft,,86-85,,
5:44.0,,,86-85,,Defensive rebound by J. Ingles
5:41.0,,,86-85,,Utah full timeout
5:41.0,,,86-85,,R. O'Neale enters the game for J. Ingles
5:41.0,,,86-85,,J. Crowder enters the game for D. Exum
5:41.0,D. Fox enters the game for F. Mason,,86-85,,
5:39.0,,,86-85,,D. Mitchell misses 3-pt shot from 26 ft
5:35.0,Defensive rebound by D. Fox,,86-85,,
5:27.0,,,86-85,,Personal foul by R. O'Neale (drawn by B. Hield)
5:22.0,Offensive foul by W. Cauley-Stein (drawn by R. O'Neale),,86-85,,
5:22.0,Turnover by W. Cauley-Stein (offensive foul),,86-85,,
5:11.0,Personal foul by G. Temple (drawn by D. Mitchell),,86-85,,
5:01.0,,,86-85,,Turnover by J. Crowder (bad pass; steal by D. Fox)
