time,Denver,pts.away,score,pts.home,Chicago
5:30.0,,,128-90,2,D. Nwaba makes 2-pt shot from 1 ft
5:03.0,D. Harris misses 3-pt shot from 25 ft (block by N. Vonleh),,128-90,,
4:59.0,,,128-90,,Defensive rebound by D. Nwaba
4:57.0,,,128-92,2,A. Blakeney makes 2-pt shot from 1 ft (assist by D. Nwaba)
4:35.0,T. Craig makes 2-pt shot from 1 ft (assist by T. Lyles),2,130-92,,
4:20.0,,,130-92,,J. Grant misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by T. Craig,,130-92,,
4:08.0,,,130-92,,C. Felicio enters the game for J. Grant
4:08.0,,,130-92,,C. Payne enters the game for B. Portis
4:08.0,R. Jefferson enters the game for D. Harris,,130-92,,
4:00.0,M. Beasley misses 2-pt shot from 8 ft,,130-92,,
4:00.0,,,130-92,,Defensive rebound by Team
3:55.0,,,130-92,,Turnover by C. Felicio (out of bounds lost ball)
3:37.0,T. Craig misses 3-pt shot from 25 ft,,130-92,,
3:37.0,,,130-92,,Defensive rebound by N. Vonleh
3:18.0,,,130-92,,A. Blakeney misses 2-pt shot from 21 ft
3:16.0,Defensive rebound by R. Jefferson,,130-92,,
3:06.0,D. Arthur misses 3-pt shot from 24 ft,,130-92,,
3:03.0,,,130-92,,Defensive rebound by N. Vonleh
2:54.0,Personal foul by D. Arthur (drawn by N. Vonleh),,130-92,,
2:54.0,,,130-92,,Chicago full timeout
2:45.0,,,130-95,3,N. Vonleh makes 3-pt shot from 24 ft (assist by C. Payne)
2:24.0,T. Craig makes 2-pt shot at rim (assist by R. Jefferson),2,132-95,,
2:12.0,,,132-95,,A. Blakeney misses 2-pt shot from 7 ft
2:10.0,,,132-95,,Offensive rebound by A. Blakeney
2:09.0,,,132-95,,D. Nwaba misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by T. Lyles,,132-95,,
1:52.0,M. Beasley misses 3-pt shot from 25 ft,,132-95,,
1:49.0,,,132-95,,Defensive rebound by N. Vonleh
