time,Atlanta,pts.away,score,pts.home,Toronto
5:24.0,,,67-65,,J. Valanciunas misses 2-pt shot from 4 ft
5:24.0,,,67-65,,Offensive rebound by Team
5:22.0,T. Dorsey enters the game for J. Collins,,67-65,,
5:22.0,M. Plumlee enters the game for K. Bazemore,,67-65,,
5:19.0,Violation by M. Plumlee (kicked ball),,67-65,,
5:15.0,,,67-65,,Shooting foul by M. Plumlee (drawn by D. DeRozan)
5:15.0,,,67-66,1,D. DeRozan makes free throw 1 of 2
5:15.0,,,67-67,1,D. DeRozan makes free throw 2 of 2
5:02.0,D. Schroder misses 2-pt shot from 2 ft (block by J. Valanciunas),,67-67,,
4:59.0,,,67-67,,Defensive rebound by F. VanVleet
4:53.0,,,67-67,,J. Valanciunas misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by D. Schroder,,67-67,,
4:44.0,T. Dorsey misses 3-pt shot from 22 ft,,67-67,,
4:42.0,,,67-67,,Defensive rebound by J. Valanciunas
4:33.0,,,67-67,,Shooting foul by T. Dorsey (drawn by D. DeRozan)
4:33.0,,,67-68,1,D. DeRozan makes free throw 1 of 2
4:33.0,I. Taylor enters the game for T. Waller-Prince,,67-68,,
4:33.0,J. Morris enters the game for D. Schroder,,67-68,,
4:33.0,,,67-69,1,D. DeRozan makes free throw 2 of 2
4:20.0,I. Taylor misses 2-pt shot from 22 ft,,67-69,,
4:18.0,Offensive rebound by Team,,67-69,,
4:14.0,M. Plumlee misses 2-pt shot from 8 ft,,67-69,,
4:11.0,,,67-69,,Defensive rebound by J. Valanciunas
4:04.0,,,67-69,,Shooting foul by T. Dorsey (drawn by D. DeRozan)
4:04.0,,,67-69,,D. DeRozan misses free throw 1 of 2
4:04.0,,,67-69,,Offensive rebound by Team
4:04.0,,,67-70,1,D. DeRozan makes free throw 2 of 2
3:54.0,I. Taylor misses 2-pt shot from 2 ft,,67-70,,
3:53.0,Offensive rebound by M. Plumlee,,67-70,,
3:52.0,M. Plumlee misses 2-pt shot from 8 ft,,67-70,,
3:52.0,,,67-70,,Defensive rebound by C. Miles
3:40.0,,,67-72,2,D. DeRozan makes 2-pt shot from 9 ft
3:37.0,Atlanta full timeout,,67-72,,
3:37.0,,,67-72,,P. Siakam enters the game for S. Ibaka
3:23.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Morris),2,69-72,,
3:05.0,,,69-72,,C. Miles misses 2-pt shot from 7 ft
3:03.0,,,69-72,,Offensive rebound by J. Valanciunas
3:03.0,,,69-72,,Shooting foul by T. Dorsey (drawn by J. Valanciunas)
3:03.0,,,69-73,1,J. Valanciunas makes free throw 1 of 2
3:03.0,D. Dedmon enters the game for M. Plumlee,,69-73,,
3:03.0,,,69-74,1,J. Valanciunas makes free throw 2 of 2
2:51.0,,,69-74,,Personal foul by F. VanVleet (drawn by D. Dedmon)
2:51.0,D. Dedmon makes free throw 1 of 2,1,70-74,,
2:51.0,D. Dedmon makes free throw 2 of 2,1,71-74,,
2:38.0,,,71-74,,D. DeRozan misses 2-pt shot from 12 ft
2:36.0,Defensive rebound by D. Dedmon,,71-74,,
2:19.0,J. Morris misses 3-pt shot from 22 ft,,71-74,,
2:17.0,,,71-74,,Defensive rebound by J. Valanciunas
2:10.0,,,71-74,,J. Valanciunas misses 2-pt shot from 8 ft (block by D. Dedmon)
2:06.0,Defensive rebound by T. Dorsey,,71-74,,
1:49.0,T. Dorsey makes 2-pt shot from 2 ft (assist by D. Dedmon),2,73-74,,
1:33.0,,,73-74,,Shooting foul by D. Dedmon (drawn by J. Valanciunas)
1:33.0,,,73-75,1,J. Valanciunas makes free throw 1 of 2
1:33.0,,,73-75,,D. Wright enters the game for D. DeRozan
1:33.0,,,73-76,1,J. Valanciunas makes free throw 2 of 2
1:17.0,D. Dedmon misses 3-pt shot from 23 ft,,73-76,,
1:13.0,Offensive rebound by I. Taylor,,73-76,,
1:10.0,T. Dorsey misses 3-pt shot from 24 ft,,73-76,,
1:05.0,Offensive rebound by D. Dedmon,,73-76,,
1:04.0,J. Morris makes 2-pt shot from 1 ft (assist by D. Dedmon),2,75-76,,
0:40.0,,,75-76,,F. VanVleet misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by D. Dedmon,,75-76,,
0:26.0,T. Dorsey makes 2-pt shot from 16 ft,2,77-76,,
0:06.0,,,77-76,,P. Siakam misses 3-pt shot from 22 ft
0:03.0,Defensive rebound by D. Dedmon,,77-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,K. Bazemore makes 2-pt shot from 1 ft,2,79-76,,
11:19.0,,,79-76,,Turnover by P. Siakam (lost ball; steal by J. Collins)
11:13.0,J. Collins misses 2-pt shot from 1 ft,,79-76,,
11:10.0,,,79-76,,Defensive rebound by C. Miles
11:07.0,,,79-76,,D. Wright misses 2-pt shot from 3 ft
11:07.0,Defensive rebound by T. Dorsey,,79-76,,
10:59.0,Turnover by T. Dorsey (bad pass; steal by D. Wright),,79-76,,
10:51.0,,,79-78,2,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet)
10:30.0,T. Dorsey misses 2-pt shot from 1 ft (block by D. Wright),,79-78,,
10:28.0,,,79-78,,Defensive rebound by J. Poeltl
10:26.0,,,79-78,,Shooting foul by I. Taylor (drawn by F. VanVleet)
10:26.0,,,79-78,,F. VanVleet misses free throw 1 of 2
10:26.0,,,79-78,,Offensive rebound by Team
10:26.0,,,79-79,1,F. VanVleet makes free throw 2 of 2
10:12.0,K. Bazemore misses 3-pt shot from 25 ft,,79-79,,
10:09.0,,,79-79,,Defensive rebound by F. VanVleet
9:55.0,,,79-81,2,J. Poeltl makes 2-pt shot from 4 ft (assist by F. VanVleet)
9:32.0,,,79-81,,Personal foul by P. Siakam (drawn by T. Waller-Prince)
9:32.0,D. Dedmon enters the game for T. Dorsey,,79-81,,
9:22.0,K. Bazemore makes 2-pt shot from 10 ft,2,81-81,,
9:14.0,,,81-81,,C. Miles misses 3-pt shot from 24 ft
9:11.0,,,81-81,,Offensive rebound by J. Poeltl
8:53.0,,,81-83,2,P. Siakam makes 2-pt shot from 11 ft (assist by J. Poeltl)
8:34.0,I. Taylor misses 3-pt shot from 24 ft,,81-83,,
8:33.0,Offensive rebound by Team,,81-83,,
8:33.0,,,81-83,,Personal foul by C. Miles (drawn by D. Dedmon)
8:33.0,D. Schroder enters the game for I. Taylor,,81-83,,
