time,Detroit,pts.away,score,pts.home,New York
0:26.0,H. Ellenson makes 2-pt shot from 2 ft (assist by J. Ennis),2,85-81,,
0:01.0,,,85-84,3,L. Thomas makes 3-pt shot from 25 ft (assist by E. Mudiay)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Personal foul by H. Ellenson (drawn by E. Mudiay),,85-84,,
11:40.0,,,85-84,,T. Williams misses 3-pt shot from 26 ft
11:38.0,Defensive rebound by L. Kennard,,85-84,,
11:18.0,Shooting foul by T. Williams (drawn by R. Jackson),,85-84,,
11:18.0,R. Jackson misses free throw 1 of 2,,85-84,,
11:18.0,Offensive rebound by Team,,85-84,,
11:18.0,R. Jackson misses free throw 2 of 2,,85-84,,
11:16.0,,,85-84,,Defensive rebound by T. Williams
11:04.0,,,85-84,,Turnover by T. Williams (traveling)
10:42.0,R. Jackson misses 3-pt shot from 24 ft,,85-84,,
10:40.0,,,85-84,,Defensive rebound by E. Mudiay
10:35.0,,,85-84,,Turnover by E. Mudiay (bad pass; steal by R. Jackson)
10:29.0,L. Kennard misses 2-pt shot from 2 ft,,85-84,,
10:27.0,Offensive rebound by H. Ellenson,,85-84,,
10:25.0,H. Ellenson makes 2-pt shot at rim,2,87-84,,
10:08.0,,,87-84,,L. Thomas misses 2-pt shot from 4 ft (block by A. Drummond)
10:06.0,Defensive rebound by A. Drummond,,87-84,,
10:02.0,H. Ellenson makes 3-pt shot from 25 ft (assist by R. Jackson),3,90-84,,
10:01.0,,,90-84,,New York full timeout
10:01.0,,,90-84,,T. Burke enters the game for D. Dotson
10:01.0,,,90-84,,M. Beasley enters the game for L. Thomas
9:51.0,,,90-84,,Turnover by L. Kornet (bad pass)
9:30.0,H. Ellenson misses 3-pt shot from 23 ft,,90-84,,
9:28.0,,,90-84,,Defensive rebound by T. Burke
9:20.0,,,90-86,2,M. Beasley makes 2-pt shot from 1 ft (assist by T. Burke)
9:02.0,Turnover by J. Ennis (bad pass; steal by M. Beasley),,90-86,,
8:55.0,,,90-86,,E. Mudiay misses 2-pt shot from 3 ft
8:53.0,Defensive rebound by A. Drummond,,90-86,,
8:47.0,A. Drummond makes 2-pt shot at rim (assist by H. Ellenson),2,92-86,,
8:24.0,,,92-86,,L. Kornet misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by A. Drummond,,92-86,,
8:12.0,Shooting foul by L. Kornet (drawn by A. Drummond),,92-86,,
8:12.0,,,92-86,,K. O'Quinn enters the game for E. Mudiay
8:12.0,,,92-86,,T. Hardaway enters the game for L. Kornet
8:12.0,A. Drummond misses free throw 1 of 2,,92-86,,
8:12.0,Offensive rebound by Team,,92-86,,
8:12.0,A. Drummond misses free throw 2 of 2,,92-86,,
8:10.0,,,92-86,,Defensive rebound by K. O'Quinn
7:55.0,,,92-89,3,M. Beasley makes 3-pt shot from 24 ft (assist by T. Williams)
7:42.0,R. Jackson makes 2-pt shot from 18 ft,2,94-89,,
7:25.0,,,94-89,,T. Burke misses 2-pt shot from 14 ft
7:24.0,,,94-89,,Offensive rebound by T. Williams
7:24.0,,,94-89,,Turnover by T. Williams (turnover)
7:11.0,L. Kennard misses 2-pt shot from 8 ft,,94-89,,
7:10.0,Offensive rebound by A. Drummond,,94-89,,
7:10.0,A. Drummond makes 2-pt shot at rim,2,96-89,,
6:48.0,,,96-91,2,M. Beasley makes 2-pt shot at rim
6:36.0,R. Jackson makes 2-pt shot from 6 ft,2,98-91,,
6:09.0,,,98-93,2,M. Beasley makes 2-pt shot at rim
5:54.0,R. Jackson misses 2-pt shot from 10 ft,,98-93,,
5:53.0,,,98-93,,Defensive rebound by K. O'Quinn
5:38.0,,,98-93,,M. Beasley misses 2-pt shot from 6 ft (block by A. Drummond)
5:36.0,Defensive rebound by L. Kennard,,98-93,,
5:33.0,J. Ennis makes 2-pt shot at rim (assist by L. Kennard),2,100-93,,
5:33.0,,,100-93,,New York full timeout
5:33.0,I. Smith enters the game for H. Ellenson,,100-93,,
5:33.0,R. Bullock enters the game for J. Ennis,,100-93,,
5:33.0,A. Tolliver enters the game for R. Jackson,,100-93,,
5:24.0,,,100-95,2,T. Burke makes 2-pt shot from 18 ft
5:05.0,R. Bullock makes 2-pt shot from 21 ft (assist by I. Smith),2,102-95,,
4:46.0,,,102-97,2,M. Beasley makes 2-pt shot from 17 ft (assist by T. Burke)
4:28.0,A. Tolliver makes 3-pt shot from 23 ft (assist by I. Smith),3,105-97,,
4:22.0,Personal foul by A. Drummond (drawn by K. O'Quinn),,105-97,,
4:03.0,,,105-97,,T. Burke misses 3-pt shot from 24 ft
4:01.0,,,105-97,,Offensive rebound by K. O'Quinn
3:48.0,,,105-99,2,M. Beasley makes 2-pt shot from 13 ft (assist by T. Burke)
3:24.0,A. Drummond makes 2-pt shot from 1 ft,2,107-99,,
3:11.0,,,107-99,,T. Burke misses 2-pt shot from 13 ft
3:10.0,,,107-99,,Offensive rebound by K. O'Quinn
3:09.0,,,107-99,,T. Williams misses 2-pt shot from 1 ft
3:08.0,,,107-99,,Offensive rebound by K. O'Quinn
