time,Washington,pts.away,score,pts.home,Golden State
11:18.0,,,97-90,,Turnover by D. West (bad pass; steal by J. Meeks)
11:14.0,J. Meeks misses 3-pt shot from 28 ft,,97-90,,
11:09.0,Offensive rebound by I. Mahinmi,,97-90,,
11:07.0,I. Mahinmi misses 2-pt shot from 4 ft (block by O. Casspi),,97-90,,
11:03.0,,,97-90,,Defensive rebound by D. West
10:56.0,Personal foul by K. Oubre (drawn by K. Thompson),,97-90,,
10:56.0,,,97-93,3,K. Durant makes 3-pt shot from 26 ft (assist by A. Iguodala)
10:44.0,Washington full timeout,,97-93,,
10:44.0,O. Porter enters the game for T. Satoransky,,97-93,,
10:34.0,O. Porter misses 2-pt shot from 20 ft,,97-93,,
10:28.0,,,97-93,,Defensive rebound by K. Durant
10:06.0,,,97-93,,K. Thompson misses 2-pt shot from 2 ft (block by K. Oubre)
10:06.0,,,97-93,,Offensive rebound by O. Casspi
10:06.0,,,97-93,,D. West misses 3-pt shot from 24 ft
10:06.0,,,97-93,,Offensive rebound by Team
10:04.0,,,97-93,,Turnover by Team (shot clock)
9:52.0,,,97-93,,Violation by K. Durant (kicked ball)
9:42.0,T. Frazier misses 2-pt shot from 14 ft,,97-93,,
9:39.0,Offensive rebound by T. Frazier,,97-93,,
9:30.0,O. Porter makes 2-pt shot from 13 ft,2,99-93,,
9:13.0,,,99-96,3,O. Casspi makes 3-pt shot from 29 ft (assist by K. Durant)
8:54.0,T. Frazier misses 3-pt shot from 27 ft,,99-96,,
8:49.0,,,99-96,,Defensive rebound by A. Iguodala
8:47.0,,,99-96,,K. Thompson misses 3-pt shot from 26 ft
8:43.0,,,99-96,,Offensive rebound by D. West
8:39.0,,,99-98,2,D. West makes 2-pt shot from 1 ft
8:27.0,O. Porter makes 2-pt shot from 2 ft,2,101-98,,
8:05.0,,,101-98,,K. Durant misses 2-pt shot from 2 ft (block by K. Oubre)
8:00.0,,,101-98,,Turnover by K. Durant (bad pass; steal by T. Frazier)
7:59.0,,,101-98,,Offensive rebound by K. Durant
7:55.0,Turnover by T. Frazier (lost ball; steal by O. Casspi),,101-98,,
7:52.0,,,101-98,,K. Thompson misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by I. Mahinmi,,101-98,,
7:48.0,Washington full timeout,,101-98,,
7:48.0,J. Wall enters the game for T. Frazier,,101-98,,
7:48.0,M. Gortat enters the game for I. Mahinmi,,101-98,,
7:48.0,J. Meeks misses 3-pt shot from 28 ft (block by K. Durant),,101-98,,
7:35.0,,,101-98,,Defensive rebound by D. West
