time,Philadelphia,pts.away,score,pts.home,Washington
9:24.0,M. Belinelli makes free throw 3 of 3,1,78-91,,
9:10.0,,,78-91,,Shooting foul by B. Simmons (drawn by K. Oubre)
9:10.0,,,78-92,1,K. Oubre makes free throw 1 of 2
9:10.0,,,78-93,1,K. Oubre makes free throw 2 of 2
8:57.0,J. Embiid makes 2-pt shot from 1 ft (assist by J. Redick),2,80-93,,
8:42.0,,,80-93,,Turnover by B. Beal (lost ball; steal by M. Belinelli)
8:37.0,M. Belinelli misses 3-pt shot from 25 ft,,80-93,,
8:32.0,,,80-93,,Defensive rebound by B. Beal
8:14.0,,,80-95,2,M. Morris makes 2-pt shot from 14 ft
7:58.0,R. Holmes misses 2-pt shot from 4 ft (block by I. Mahinmi),,80-95,,
7:58.0,Offensive rebound by Team,,80-95,,
7:58.0,R. Covington enters the game for M. Belinelli,,80-95,,
7:58.0,D. Saric enters the game for J. Embiid,,80-95,,
7:56.0,R. Holmes makes 2-pt shot from 2 ft (assist by J. Redick),2,82-95,,
7:56.0,Shooting foul by K. Oubre (drawn by R. Holmes),,82-95,,
7:56.0,,,82-95,,O. Porter enters the game for T. Satoransky
7:56.0,R. Holmes makes free throw 1 of 1,1,83-95,,
7:56.0,,,83-95,,Washington full timeout
7:32.0,,,83-97,2,B. Beal makes 2-pt shot from 12 ft (assist by M. Morris)
7:19.0,Turnover by J. Redick (bad pass; steal by O. Porter),,83-97,,
7:03.0,,,83-97,,Offensive foul by I. Mahinmi (drawn by B. Simmons)
7:03.0,,,83-97,,Turnover by I. Mahinmi (offensive foul)
7:03.0,,,83-97,,M. Gortat enters the game for I. Mahinmi
7:03.0,M. Belinelli enters the game for J. Redick,,83-97,,
6:44.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,86-97,,
6:27.0,,,86-97,,B. Beal misses 2-pt shot from 5 ft
6:23.0,,,86-97,,Offensive rebound by M. Gortat
6:23.0,,,86-97,,M. Gortat misses 2-pt shot at rim
6:23.0,,,86-97,,Offensive rebound by M. Gortat
