time,Boston,pts.away,score,pts.home,Toronto
4:19.0,J. Tatum enters the game for G. Monroe,,73-87,,
4:02.0,,,73-89,2,L. Nogueira makes 2-pt shot at rim (assist by F. VanVleet)
3:44.0,A. Horford misses 3-pt shot from 25 ft,,73-89,,
3:42.0,,,73-89,,Defensive rebound by D. Wright
3:35.0,,,73-89,,S. Ibaka misses 2-pt shot from 7 ft (block by T. Rozier)
3:35.0,,,73-89,,Offensive rebound by Team
3:35.0,,,73-89,,Toronto full timeout
3:29.0,,,73-89,,Turnover by K. Lowry (bad pass; steal by M. Morris)
3:26.0,M. Morris makes 2-pt shot from 1 ft,2,75-89,,
3:11.0,Personal block foul by J. Brown (drawn by D. Wright),,75-89,,
