time,Charlotte,pts.away,score,pts.home,Cleveland
7:20.0,,,88-85,,Shooting foul by C. Zeller (drawn by K. Love)
7:20.0,,,88-86,1,K. Love makes free throw 1 of 2
7:20.0,,,88-87,1,K. Love makes free throw 2 of 2
7:01.0,F. Kaminsky misses 3-pt shot from 25 ft,,88-87,,
6:58.0,,,88-87,,Defensive rebound by K. Love
6:49.0,,,88-89,2,L. James makes 2-pt shot from 2 ft
6:36.0,M. Carter-Williams makes 2-pt shot from 18 ft,2,90-89,,
6:36.0,Shooting foul by D. Wade (drawn by M. Carter-Williams),,90-89,,
6:36.0,,,90-89,,Cleveland full timeout
6:36.0,D. Howard enters the game for F. Kaminsky,,90-89,,
6:36.0,M. Carter-Williams makes free throw 1 of 1,1,91-89,,
6:23.0,,,91-89,,J. Smith misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by D. Howard,,91-89,,
6:18.0,,,91-89,,Personal take foul by L. James (drawn by D. Howard)
6:18.0,D. Howard makes free throw 1 of 2,1,92-89,,
6:18.0,,,92-89,,K. Korver enters the game for D. Wade
6:18.0,K. Walker enters the game for J. Lamb,,92-89,,
6:18.0,D. Howard makes free throw 2 of 2,1,93-89,,
6:04.0,,,93-91,2,K. Korver makes 2-pt shot from 22 ft (assist by L. James)
5:50.0,D. Howard misses 2-pt shot from 8 ft,,93-91,,
5:48.0,,,93-91,,Defensive rebound by K. Love
5:39.0,,,93-93,2,J. Smith makes 2-pt shot from 1 ft (assist by L. James)
5:24.0,,,93-93,,Shooting block foul by K. Love (drawn by M. Carter-Williams)
5:24.0,M. Carter-Williams misses free throw 1 of 2,,93-93,,
5:24.0,Offensive rebound by Team,,93-93,,
5:24.0,M. Williams enters the game for C. Zeller,,93-93,,
5:24.0,M. Carter-Williams misses free throw 2 of 2,,93-93,,
5:21.0,,,93-93,,Defensive rebound by L. James
5:16.0,,,93-93,,K. Korver misses 3-pt shot from 22 ft
5:12.0,Defensive rebound by D. Howard,,93-93,,
4:59.0,,,93-93,,Personal foul by K. Love (drawn by D. Howard)
4:59.0,D. Howard makes free throw 1 of 2,1,94-93,,
4:59.0,,,94-93,,Cleveland full timeout
4:59.0,D. Howard misses free throw 2 of 2,,94-93,,
4:53.0,Offensive rebound by K. Walker,,94-93,,
4:39.0,D. Howard misses 2-pt shot from 9 ft,,94-93,,
4:37.0,,,94-93,,Defensive rebound by L. James
4:27.0,,,94-93,,L. James misses 2-pt shot at rim
4:24.0,Defensive rebound by M. Carter-Williams,,94-93,,
4:07.0,Shooting foul by J. Crowder (drawn by D. Howard),,94-93,,
